,STATE.UT,Year,id,CAUSE,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Total.Male,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above,Total.Female,Transgender.upto.14.years,Transgender.15.29.years,Transgender.30.44.years,Transgender.45.59.years,Transgender.60.years.and.above,Total.Transgender,Grand.Total
6589,A & N ISLANDS,2002,1,MENTAL HEALTH,0,2,7,2,2,13,0,4,1,1,1,7,0,0,0,0,0,0,20
7135,A & N ISLANDS,2002,1,OTHERS,0,4,2,7,2,15,0,2,3,1,0,6,0,0,0,0,0,0,21
7720,A & N ISLANDS,2002,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8226,A & N ISLANDS,2002,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,A & N ISLANDS,2003,1,CAUSES NOT KNOWN,0,3,3,5,2,13,1,5,1,0,0,7,0,0,0,0,0,0,20
625,A & N ISLANDS,2003,1,DEATH OF DEAR PERSON,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1171,A & N ISLANDS,2003,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717,A & N ISLANDS,2003,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2263,A & N ISLANDS,2003,1,ECONOMIC ISSUES,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
2809,A & N ISLANDS,2003,1,EXAM FAILURE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3355,A & N ISLANDS,2003,1,FAMILY PROBLEMS,0,5,4,1,1,11,1,9,1,0,0,11,0,0,0,0,0,0,22
3901,A & N ISLANDS,2003,1,HEALTH ISSUES,0,1,3,8,2,14,0,4,3,2,0,9,0,0,0,0,0,0,23
4447,A & N ISLANDS,2003,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4992,A & N ISLANDS,2003,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5537,A & N ISLANDS,2003,1,LOVE AFFAIRS,0,6,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,8
6082,A & N ISLANDS,2003,1,MARITAL ISSUES,0,0,1,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,4
6628,A & N ISLANDS,2003,1,MENTAL HEALTH,0,0,4,1,0,5,0,3,0,0,1,4,0,0,0,0,0,0,9
7174,A & N ISLANDS,2003,1,OTHERS,0,5,5,2,1,13,1,2,2,0,0,5,0,0,0,0,0,0,18
7759,A & N ISLANDS,2003,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8265,A & N ISLANDS,2003,1,SOCIETAL ISSUES,1,1,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,4
118,A & N ISLANDS,2004,1,CAUSES NOT KNOWN,0,5,4,2,1,12,0,5,0,0,0,5,0,0,0,0,0,0,17
664,A & N ISLANDS,2004,1,DEATH OF DEAR PERSON,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
1210,A & N ISLANDS,2004,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,A & N ISLANDS,2004,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2302,A & N ISLANDS,2004,1,ECONOMIC ISSUES,0,10,1,2,1,14,0,5,0,0,0,5,0,0,0,0,0,0,19
2848,A & N ISLANDS,2004,1,EXAM FAILURE,0,3,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,5
3394,A & N ISLANDS,2004,1,FAMILY PROBLEMS,0,2,3,1,0,6,1,4,3,1,0,9,0,0,0,0,0,0,15
3940,A & N ISLANDS,2004,1,HEALTH ISSUES,0,2,4,6,5,17,0,4,6,2,1,13,0,0,0,0,0,0,30
4486,A & N ISLANDS,2004,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5031,A & N ISLANDS,2004,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5576,A & N ISLANDS,2004,1,LOVE AFFAIRS,0,4,1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,6
6121,A & N ISLANDS,2004,1,MARITAL ISSUES,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
6667,A & N ISLANDS,2004,1,MENTAL HEALTH,0,6,5,3,1,15,0,1,2,0,0,3,0,0,0,0,0,0,18
7213,A & N ISLANDS,2004,1,OTHERS,0,1,4,0,1,6,0,0,2,0,0,2,0,0,0,0,0,0,8
7798,A & N ISLANDS,2004,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8304,A & N ISLANDS,2004,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,A & N ISLANDS,2005,1,CAUSES NOT KNOWN,0,6,2,10,2,20,1,3,1,1,0,6,0,0,0,0,0,0,26
703,A & N ISLANDS,2005,1,DEATH OF DEAR PERSON,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1249,A & N ISLANDS,2005,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1795,A & N ISLANDS,2005,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,A & N ISLANDS,2005,1,ECONOMIC ISSUES,0,0,2,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,4
2887,A & N ISLANDS,2005,1,EXAM FAILURE,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3
3433,A & N ISLANDS,2005,1,FAMILY PROBLEMS,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,3
3979,A & N ISLANDS,2005,1,HEALTH ISSUES,0,1,3,7,10,21,0,6,2,4,4,16,0,0,0,0,0,0,37
4525,A & N ISLANDS,2005,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5070,A & N ISLANDS,2005,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5615,A & N ISLANDS,2005,1,LOVE AFFAIRS,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
6160,A & N ISLANDS,2005,1,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6706,A & N ISLANDS,2005,1,MENTAL HEALTH,0,2,4,2,1,9,0,2,2,2,1,7,0,0,0,0,0,0,16
7252,A & N ISLANDS,2005,1,OTHERS,4,5,10,5,3,27,2,13,2,2,0,19,0,0,0,0,0,0,46
7837,A & N ISLANDS,2005,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8343,A & N ISLANDS,2005,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,A & N ISLANDS,2006,1,CAUSES NOT KNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,A & N ISLANDS,2006,1,DEATH OF DEAR PERSON,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1288,A & N ISLANDS,2006,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,A & N ISLANDS,2006,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2380,A & N ISLANDS,2006,1,ECONOMIC ISSUES,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2926,A & N ISLANDS,2006,1,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3472,A & N ISLANDS,2006,1,FAMILY PROBLEMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,A & N ISLANDS,2006,1,HEALTH ISSUES,0,2,9,7,9,27,0,9,2,1,1,13,0,0,0,0,0,0,40
4564,A & N ISLANDS,2006,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5109,A & N ISLANDS,2006,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5654,A & N ISLANDS,2006,1,LOVE AFFAIRS,0,1,1,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,4
6199,A & N ISLANDS,2006,1,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6745,A & N ISLANDS,2006,1,MENTAL HEALTH,0,1,4,9,2,16,0,0,3,2,1,6,0,0,0,0,0,0,22
7291,A & N ISLANDS,2006,1,OTHERS,4,15,20,8,1,48,0,11,5,0,0,16,0,0,0,0,0,0,64
7876,A & N ISLANDS,2006,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8382,A & N ISLANDS,2006,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,A & N ISLANDS,2007,1,CAUSES NOT KNOWN,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
781,A & N ISLANDS,2007,1,DEATH OF DEAR PERSON,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1327,A & N ISLANDS,2007,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,A & N ISLANDS,2007,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2419,A & N ISLANDS,2007,1,ECONOMIC ISSUES,0,3,1,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,6
2965,A & N ISLANDS,2007,1,EXAM FAILURE,0,2,0,0,0,2,2,5,0,0,0,7,0,0,0,0,0,0,9
3511,A & N ISLANDS,2007,1,FAMILY PROBLEMS,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4
4057,A & N ISLANDS,2007,1,HEALTH ISSUES,0,3,1,5,4,13,0,4,2,2,2,10,0,0,0,0,0,0,23
4602,A & N ISLANDS,2007,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5147,A & N ISLANDS,2007,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5692,A & N ISLANDS,2007,1,LOVE AFFAIRS,0,3,0,0,0,3,1,4,1,0,0,6,0,0,0,0,0,0,9
6238,A & N ISLANDS,2007,1,MARITAL ISSUES,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
6784,A & N ISLANDS,2007,1,MENTAL HEALTH,0,3,9,7,1,20,0,3,1,2,0,6,0,0,0,0,0,0,26
7330,A & N ISLANDS,2007,1,OTHERS,0,16,12,12,4,44,3,13,6,4,0,26,0,0,0,0,0,0,70
7914,A & N ISLANDS,2007,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8421,A & N ISLANDS,2007,1,SOCIETAL ISSUES,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
274,A & N ISLANDS,2008,1,CAUSES NOT KNOWN,0,5,7,4,4,20,0,4,1,1,0,6,0,0,0,0,0,0,26
820,A & N ISLANDS,2008,1,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,A & N ISLANDS,2008,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,A & N ISLANDS,2008,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2458,A & N ISLANDS,2008,1,ECONOMIC ISSUES,0,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5
3004,A & N ISLANDS,2008,1,EXAM FAILURE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3550,A & N ISLANDS,2008,1,FAMILY PROBLEMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4096,A & N ISLANDS,2008,1,HEALTH ISSUES,0,3,6,7,6,22,0,5,4,2,2,13,0,0,0,0,0,0,35
4641,A & N ISLANDS,2008,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5186,A & N ISLANDS,2008,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5731,A & N ISLANDS,2008,1,LOVE AFFAIRS,0,5,2,0,0,7,0,2,0,0,0,2,0,0,0,0,0,0,9
6277,A & N ISLANDS,2008,1,MARITAL ISSUES,0,3,0,1,0,4,0,0,2,0,0,2,0,0,0,0,0,0,6
6823,A & N ISLANDS,2008,1,MENTAL HEALTH,0,3,7,4,2,16,0,2,0,2,1,5,0,0,0,0,0,0,21
7369,A & N ISLANDS,2008,1,OTHERS,0,9,10,3,1,23,0,10,6,0,1,17,0,0,0,0,0,0,40
7953,A & N ISLANDS,2008,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8460,A & N ISLANDS,2008,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,A & N ISLANDS,2009,1,CAUSES NOT KNOWN,0,7,8,9,1,25,0,4,2,0,0,6,0,0,0,0,0,0,31
859,A & N ISLANDS,2009,1,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,A & N ISLANDS,2009,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,A & N ISLANDS,2009,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2497,A & N ISLANDS,2009,1,ECONOMIC ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3043,A & N ISLANDS,2009,1,EXAM FAILURE,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3589,A & N ISLANDS,2009,1,FAMILY PROBLEMS,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
4135,A & N ISLANDS,2009,1,HEALTH ISSUES,0,4,3,6,3,16,0,3,2,3,1,9,0,0,0,0,0,0,25
4680,A & N ISLANDS,2009,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5225,A & N ISLANDS,2009,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5770,A & N ISLANDS,2009,1,LOVE AFFAIRS,0,2,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,4
6316,A & N ISLANDS,2009,1,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6862,A & N ISLANDS,2009,1,MENTAL HEALTH,0,4,5,4,1,14,0,1,5,0,0,6,0,0,0,0,0,0,20
7408,A & N ISLANDS,2009,1,OTHERS,1,14,7,6,0,28,7,8,5,1,0,21,0,0,0,0,0,0,49
7992,A & N ISLANDS,2009,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,A & N ISLANDS,2009,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,A & N ISLANDS,2010,1,CAUSES NOT KNOWN,0,4,4,5,3,16,0,5,0,0,0,5,0,0,0,0,0,0,21
898,A & N ISLANDS,2010,1,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,A & N ISLANDS,2010,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,A & N ISLANDS,2010,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2536,A & N ISLANDS,2010,1,ECONOMIC ISSUES,0,4,2,1,0,7,0,1,0,0,0,1,0,0,0,0,0,0,8
3082,A & N ISLANDS,2010,1,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3628,A & N ISLANDS,2010,1,FAMILY PROBLEMS,0,0,1,0,2,3,0,2,1,0,0,3,0,0,0,0,0,0,6
4174,A & N ISLANDS,2010,1,HEALTH ISSUES,0,5,4,4,5,18,0,3,1,0,3,7,0,0,0,0,0,0,25
4719,A & N ISLANDS,2010,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5264,A & N ISLANDS,2010,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5809,A & N ISLANDS,2010,1,LOVE AFFAIRS,0,3,1,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,5
6355,A & N ISLANDS,2010,1,MARITAL ISSUES,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2
6901,A & N ISLANDS,2010,1,MENTAL HEALTH,0,10,7,2,2,21,0,2,4,0,0,6,0,0,0,0,0,0,27
7447,A & N ISLANDS,2010,1,OTHERS,4,13,14,6,6,43,0,12,5,2,0,19,0,0,0,0,0,0,62
8031,A & N ISLANDS,2010,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8538,A & N ISLANDS,2010,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,A & N ISLANDS,2011,1,CAUSES NOT KNOWN,0,9,13,6,1,29,2,3,1,3,1,10,0,0,0,0,0,0,39
937,A & N ISLANDS,2011,1,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483,A & N ISLANDS,2011,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,A & N ISLANDS,2011,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2575,A & N ISLANDS,2011,1,ECONOMIC ISSUES,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
3121,A & N ISLANDS,2011,1,EXAM FAILURE,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3
3667,A & N ISLANDS,2011,1,FAMILY PROBLEMS,0,1,2,0,0,3,0,0,0,1,1,2,0,0,0,0,0,0,5
4213,A & N ISLANDS,2011,1,HEALTH ISSUES,0,2,3,5,5,15,0,3,4,1,0,8,0,0,0,0,0,0,23
4758,A & N ISLANDS,2011,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5303,A & N ISLANDS,2011,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5848,A & N ISLANDS,2011,1,LOVE AFFAIRS,0,7,0,0,0,7,0,2,1,0,0,3,0,0,0,0,0,0,10
6394,A & N ISLANDS,2011,1,MARITAL ISSUES,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
6940,A & N ISLANDS,2011,1,MENTAL HEALTH,0,1,7,6,1,15,0,4,1,1,0,6,0,0,0,0,0,0,21
7486,A & N ISLANDS,2011,1,OTHERS,1,4,9,3,3,20,2,6,3,0,0,11,0,0,0,0,0,0,31
8070,A & N ISLANDS,2011,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8577,A & N ISLANDS,2011,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,A & N ISLANDS,2012,1,CAUSES NOT KNOWN,1,2,6,3,1,13,0,5,3,0,0,8,0,0,0,0,0,0,21
976,A & N ISLANDS,2012,1,DEATH OF DEAR PERSON,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1522,A & N ISLANDS,2012,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,A & N ISLANDS,2012,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2614,A & N ISLANDS,2012,1,ECONOMIC ISSUES,0,4,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,5
3160,A & N ISLANDS,2012,1,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3706,A & N ISLANDS,2012,1,FAMILY PROBLEMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4252,A & N ISLANDS,2012,1,HEALTH ISSUES,0,1,6,6,6,19,0,3,1,0,3,7,0,0,0,0,0,0,26
4797,A & N ISLANDS,2012,1,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5342,A & N ISLANDS,2012,1,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5887,A & N ISLANDS,2012,1,LOVE AFFAIRS,0,4,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,5
6433,A & N ISLANDS,2012,1,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6979,A & N ISLANDS,2012,1,MENTAL HEALTH,0,6,7,5,1,19,0,2,3,0,0,5,0,0,0,0,0,0,24
7525,A & N ISLANDS,2012,1,OTHERS,1,5,6,6,2,20,1,9,5,3,1,19,0,0,0,0,0,0,39
8109,A & N ISLANDS,2012,1,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8616,A & N ISLANDS,2012,1,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,A & N ISLANDS,2013,1,CAUSES NOT KNOWN,2,5,5,5,1,18,0,6,0,1,0,7,0,0,0,0,0,0,25
1015,A & N ISLANDS,2013,1,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1561,A & N ISLANDS,2013,1,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,A & N ISLANDS,2013,1,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2653,A & N ISLANDS,2013,1,ECONOMIC ISSUES,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
