STATE.UT,id,Year,CAUSE,Male,Female,Total
A & N ISLANDS,1,2013,Primary,23,6,29
A & N ISLANDS,1,2013,Middle,46,12,58
A & N ISLANDS,1,2013,Matriculate/Secondary,26,12,38
A & N ISLANDS,1,2013,Hr. Secondary/Intermediate/Pre-University,15,7,22
A & N ISLANDS,1,2013,Diploma,0,0,0
A & N ISLANDS,1,2013,Graduate,1,3,4
A & N ISLANDS,1,2013,Post Graduate and Above,0,0,0
A & N ISLANDS,1,2014,No Education,0,0,0
A & N ISLANDS,1,2014,Primary,24,16,40
A & N ISLANDS,1,2014,Middle,91,15,106
A & N ISLANDS,1,2014,Matriculate/Secondary,0,5,5
A & N ISLANDS,1,2014,Hr. Secondary/Intermediate/Pre-University,0,0,0
A & N ISLANDS,1,2014,Diploma,0,0,0
A & N ISLANDS,1,2014,Graduate,0,4,4
A & N ISLANDS,1,2014,Post Graduate and Above,0,0,0
ANDHRA PRADESH,2,2001,No Education,2117,1657,3774
ANDHRA PRADESH,2,2001,Primary,1536,1076,2612
ANDHRA PRADESH,2,2001,Middle,1281,722,2003
ANDHRA PRADESH,2,2001,Matriculate/Secondary,818,449,1267
ANDHRA PRADESH,2,2001,Hr. Secondary/Intermediate/Pre-University,427,168,595
ANDHRA PRADESH,2,2001,Diploma,75,23,98
ANDHRA PRADESH,2,2001,Graduate,104,42,146
ANDHRA PRADESH,2,2001,Post Graduate and Above,21,6,27
ANDHRA PRADESH,2,2002,No Education,2505,1700,4205
ANDHRA PRADESH,2,2002,Primary,1723,929,2652
ANDHRA PRADESH,2,2002,Middle,1731,832,2563
ANDHRA PRADESH,2,2002,Matriculate/Secondary,965,443,1408
ANDHRA PRADESH,2,2002,Hr. Secondary/Intermediate/Pre-University,496,170,666
ANDHRA PRADESH,2,2002,Diploma,28,19,47
ANDHRA PRADESH,2,2002,Graduate,100,25,125
ANDHRA PRADESH,2,2002,Post Graduate and Above,23,4,27
ANDHRA PRADESH,2,2003,No Education,2738,1505,4243
ANDHRA PRADESH,2,2003,Primary,1845,930,2775
ANDHRA PRADESH,2,2003,Middle,1528,838,2366
ANDHRA PRADESH,2,2003,Matriculate/Secondary,809,353,1162
ANDHRA PRADESH,2,2003,Hr. Secondary/Intermediate/Pre-University,406,197,603
ANDHRA PRADESH,2,2003,Diploma,62,11,73
ANDHRA PRADESH,2,2003,Graduate,101,53,154
ANDHRA PRADESH,2,2003,Post Graduate and Above,24,9,33
ANDHRA PRADESH,2,2004,No Education,2937,1843,4780
ANDHRA PRADESH,2,2004,Primary,2057,995,3052
ANDHRA PRADESH,2,2004,Middle,2203,906,3109
ANDHRA PRADESH,2,2004,Matriculate/Secondary,1157,417,1574
ANDHRA PRADESH,2,2004,Hr. Secondary/Intermediate/Pre-University,511,222,733
ANDHRA PRADESH,2,2004,Diploma,68,15,83
ANDHRA PRADESH,2,2004,Graduate,135,40,175
ANDHRA PRADESH,2,2004,Post Graduate and Above,14,6,20
ANDHRA PRADESH,2,2005,No Education,2761,1685,4446
ANDHRA PRADESH,2,2005,Primary,2340,1074,3414
ANDHRA PRADESH,2,2005,Middle,2247,1026,3273
ANDHRA PRADESH,2,2005,Matriculate/Secondary,796,438,1234
ANDHRA PRADESH,2,2005,Hr. Secondary/Intermediate/Pre-University,557,298,855
ANDHRA PRADESH,2,2005,Diploma,36,16,52
ANDHRA PRADESH,2,2005,Graduate,111,34,145
ANDHRA PRADESH,2,2005,Post Graduate and Above,17,6,23
ANDHRA PRADESH,2,2006,No Education,2913,1788,4701
ANDHRA PRADESH,2,2006,Primary,1899,922,2821
ANDHRA PRADESH,2,2006,Middle,2180,949,3129
ANDHRA PRADESH,2,2006,Matriculate/Secondary,1096,455,1551
ANDHRA PRADESH,2,2006,Hr. Secondary/Intermediate/Pre-University,563,232,795
ANDHRA PRADESH,2,2006,Diploma,77,21,98
ANDHRA PRADESH,2,2006,Graduate,120,36,156
ANDHRA PRADESH,2,2006,Post Graduate and Above,15,10,25
ANDHRA PRADESH,2,2007,No Education,3183,1922,5105
ANDHRA PRADESH,2,2007,Primary,2339,1112,3451
ANDHRA PRADESH,2,2007,Middle,2336,1127,3463
ANDHRA PRADESH,2,2007,Matriculate/Secondary,1195,466,1661
ANDHRA PRADESH,2,2007,Hr. Secondary/Intermediate/Pre-University,661,237,898
ANDHRA PRADESH,2,2007,Diploma,81,14,95
ANDHRA PRADESH,2,2007,Graduate,114,43,157
ANDHRA PRADESH,2,2007,Post Graduate and Above,40,12,52
ANDHRA PRADESH,2,2008,No Education,2999,1687,4686
ANDHRA PRADESH,2,2008,Primary,2094,1104,3198
ANDHRA PRADESH,2,2008,Middle,1869,875,2744
ANDHRA PRADESH,2,2008,Matriculate/Secondary,1396,596,1992
ANDHRA PRADESH,2,2008,Hr. Secondary/Intermediate/Pre-University,965,276,1241
ANDHRA PRADESH,2,2008,Diploma,94,18,112
ANDHRA PRADESH,2,2008,Graduate,235,62,297
ANDHRA PRADESH,2,2008,Post Graduate and Above,69,15,84
ANDHRA PRADESH,2,2009,No Education,2844,1659,4503
ANDHRA PRADESH,2,2009,Primary,2234,967,3201
ANDHRA PRADESH,2,2009,Middle,1919,900,2819
ANDHRA PRADESH,2,2009,Matriculate/Secondary,1653,669,2322
ANDHRA PRADESH,2,2009,Hr. Secondary/Intermediate/Pre-University,755,277,1032
ANDHRA PRADESH,2,2009,Diploma,124,35,159
ANDHRA PRADESH,2,2009,Graduate,257,84,341
ANDHRA PRADESH,2,2009,Post Graduate and Above,101,22,123
ANDHRA PRADESH,2,2010,No Education,3115,1700,4815
ANDHRA PRADESH,2,2010,Primary,2465,1273,3738
ANDHRA PRADESH,2,2010,Middle,2097,884,2981
ANDHRA PRADESH,2,2010,Matriculate/Secondary,1775,598,2373
ANDHRA PRADESH,2,2010,Hr. Secondary/Intermediate/Pre-University,875,309,1184
ANDHRA PRADESH,2,2010,Diploma,104,40,144
ANDHRA PRADESH,2,2010,Graduate,379,121,500
ANDHRA PRADESH,2,2010,Post Graduate and Above,137,29,166
ANDHRA PRADESH,2,2011,No Education,3015,1724,4739
ANDHRA PRADESH,2,2011,Primary,1979,1007,2986
ANDHRA PRADESH,2,2011,Middle,2327,1028,3355
ANDHRA PRADESH,2,2011,Matriculate/Secondary,1484,642,2126
ANDHRA PRADESH,2,2011,Hr. Secondary/Intermediate/Pre-University,873,450,1323
ANDHRA PRADESH,2,2011,Diploma,136,30,166
ANDHRA PRADESH,2,2011,Graduate,263,60,323
ANDHRA PRADESH,2,2011,Post Graduate and Above,43,16,59
ANDHRA PRADESH,2,2012,No Education,3311,1630,4941
ANDHRA PRADESH,2,2012,Primary,1949,1080,3029
ANDHRA PRADESH,2,2012,Middle,1880,859,2739
ANDHRA PRADESH,2,2012,Matriculate/Secondary,1296,636,1932
ANDHRA PRADESH,2,2012,Hr. Secondary/Intermediate/Pre-University,541,333,874
ANDHRA PRADESH,2,2012,Diploma,110,28,138
ANDHRA PRADESH,2,2012,Graduate,402,126,528
ANDHRA PRADESH,2,2012,Post Graduate and Above,38,19,57
ANDHRA PRADESH,2,2013,No Education,3127,1704,4831
ANDHRA PRADESH,2,2013,Primary,1895,892,2787
ANDHRA PRADESH,2,2013,Middle,1760,759,2519
ANDHRA PRADESH,2,2013,Matriculate/Secondary,1605,704,2309
ANDHRA PRADESH,2,2013,Hr. Secondary/Intermediate/Pre-University,795,399,1194
ANDHRA PRADESH,2,2013,Diploma,104,53,157
ANDHRA PRADESH,2,2013,Graduate,555,165,720
ANDHRA PRADESH,2,2013,Post Graduate and Above,61,29,90
ANDHRA PRADESH,2,2014,No Education,927,470,1397
ANDHRA PRADESH,2,2014,Primary,743,385,1128
ANDHRA PRADESH,2,2014,Middle,630,343,973
ANDHRA PRADESH,2,2014,Matriculate/Secondary,657,306,963
ANDHRA PRADESH,2,2014,Hr. Secondary/Intermediate/Pre-University,395,150,545
ANDHRA PRADESH,2,2014,Diploma,77,16,93
ANDHRA PRADESH,2,2014,Graduate,174,39,213
ANDHRA PRADESH,2,2014,Post Graduate and Above,16,4,20
ARUNACHAL PRADESH,3,2001,No Education,14,10,24
ARUNACHAL PRADESH,3,2001,Primary,19,12,31
ARUNACHAL PRADESH,3,2001,Middle,19,11,30
ARUNACHAL PRADESH,3,2001,Matriculate/Secondary,21,2,23
ARUNACHAL PRADESH,3,2001,Hr. Secondary/Intermediate/Pre-University,1,0,1
ARUNACHAL PRADESH,3,2001,Diploma,0,0,0
ARUNACHAL PRADESH,3,2001,Graduate,1,0,1
ARUNACHAL PRADESH,3,2001,Post Graduate and Above,1,0,1
ARUNACHAL PRADESH,3,2002,No Education,18,18,36
ARUNACHAL PRADESH,3,2002,Primary,22,12,34
ARUNACHAL PRADESH,3,2002,Middle,17,12,29
ARUNACHAL PRADESH,3,2002,Matriculate/Secondary,14,1,15
ARUNACHAL PRADESH,3,2002,Hr. Secondary/Intermediate/Pre-University,0,0,0
ARUNACHAL PRADESH,3,2002,Diploma,0,0,0
ARUNACHAL PRADESH,3,2002,Graduate,0,0,0
ARUNACHAL PRADESH,3,2002,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2003,No Education,16,8,24
ARUNACHAL PRADESH,3,2003,Primary,6,6,12
ARUNACHAL PRADESH,3,2003,Middle,15,5,20
ARUNACHAL PRADESH,3,2003,Matriculate/Secondary,14,8,22
ARUNACHAL PRADESH,3,2003,Hr. Secondary/Intermediate/Pre-University,1,0,1
ARUNACHAL PRADESH,3,2003,Diploma,1,0,1
ARUNACHAL PRADESH,3,2003,Graduate,1,0,1
ARUNACHAL PRADESH,3,2003,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2004,No Education,15,12,27
ARUNACHAL PRADESH,3,2004,Primary,14,9,23
ARUNACHAL PRADESH,3,2004,Middle,17,4,21
ARUNACHAL PRADESH,3,2004,Matriculate/Secondary,3,5,8
ARUNACHAL PRADESH,3,2004,Hr. Secondary/Intermediate/Pre-University,0,0,0
ARUNACHAL PRADESH,3,2004,Diploma,0,0,0
ARUNACHAL PRADESH,3,2004,Graduate,0,0,0
ARUNACHAL PRADESH,3,2004,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2005,No Education,14,6,20
ARUNACHAL PRADESH,3,2005,Primary,14,9,23
ARUNACHAL PRADESH,3,2005,Middle,10,4,14
ARUNACHAL PRADESH,3,2005,Matriculate/Secondary,8,2,10
ARUNACHAL PRADESH,3,2005,Hr. Secondary/Intermediate/Pre-University,2,0,2
ARUNACHAL PRADESH,3,2005,Diploma,0,0,0
ARUNACHAL PRADESH,3,2005,Graduate,1,0,1
ARUNACHAL PRADESH,3,2005,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2006,No Education,19,11,30
ARUNACHAL PRADESH,3,2006,Primary,8,5,13
ARUNACHAL PRADESH,3,2006,Middle,25,7,32
ARUNACHAL PRADESH,3,2006,Matriculate/Secondary,37,7,44
ARUNACHAL PRADESH,3,2006,Hr. Secondary/Intermediate/Pre-University,6,3,9
ARUNACHAL PRADESH,3,2006,Diploma,0,0,0
ARUNACHAL PRADESH,3,2006,Graduate,0,0,0
ARUNACHAL PRADESH,3,2006,Post Graduate and Above,1,0,1
ARUNACHAL PRADESH,3,2007,No Education,31,6,37
ARUNACHAL PRADESH,3,2007,Primary,14,13,27
ARUNACHAL PRADESH,3,2007,Middle,27,8,35
ARUNACHAL PRADESH,3,2007,Matriculate/Secondary,7,2,9
ARUNACHAL PRADESH,3,2007,Hr. Secondary/Intermediate/Pre-University,17,2,19
ARUNACHAL PRADESH,3,2007,Diploma,0,0,0
ARUNACHAL PRADESH,3,2007,Graduate,2,0,2
ARUNACHAL PRADESH,3,2007,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2008,No Education,12,10,22
ARUNACHAL PRADESH,3,2008,Primary,28,11,39
ARUNACHAL PRADESH,3,2008,Middle,24,10,34
ARUNACHAL PRADESH,3,2008,Matriculate/Secondary,13,1,14
ARUNACHAL PRADESH,3,2008,Hr. Secondary/Intermediate/Pre-University,0,1,1
ARUNACHAL PRADESH,3,2008,Diploma,0,0,0
ARUNACHAL PRADESH,3,2008,Graduate,0,0,0
ARUNACHAL PRADESH,3,2008,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2009,No Education,12,10,22
ARUNACHAL PRADESH,3,2009,Primary,28,11,39
ARUNACHAL PRADESH,3,2009,Middle,24,10,34
ARUNACHAL PRADESH,3,2009,Matriculate/Secondary,13,1,14
ARUNACHAL PRADESH,3,2009,Hr. Secondary/Intermediate/Pre-University,0,1,1
ARUNACHAL PRADESH,3,2009,Diploma,0,0,0
ARUNACHAL PRADESH,3,2009,Graduate,0,0,0
ARUNACHAL PRADESH,3,2009,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2010,No Education,17,5,22
ARUNACHAL PRADESH,3,2010,Primary,20,13,33
ARUNACHAL PRADESH,3,2010,Middle,15,4,19
ARUNACHAL PRADESH,3,2010,Matriculate/Secondary,25,12,37
ARUNACHAL PRADESH,3,2010,Hr. Secondary/Intermediate/Pre-University,12,6,18
ARUNACHAL PRADESH,3,2010,Diploma,1,0,1
ARUNACHAL PRADESH,3,2010,Graduate,1,0,1
ARUNACHAL PRADESH,3,2010,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2011,No Education,21,12,33
ARUNACHAL PRADESH,3,2011,Primary,24,11,35
ARUNACHAL PRADESH,3,2011,Middle,29,7,36
ARUNACHAL PRADESH,3,2011,Matriculate/Secondary,20,4,24
ARUNACHAL PRADESH,3,2011,Hr. Secondary/Intermediate/Pre-University,5,0,5
ARUNACHAL PRADESH,3,2011,Diploma,0,0,0
ARUNACHAL PRADESH,3,2011,Graduate,0,1,1
ARUNACHAL PRADESH,3,2011,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2012,No Education,25,5,30
ARUNACHAL PRADESH,3,2012,Primary,27,8,35
ARUNACHAL PRADESH,3,2012,Middle,19,8,27
ARUNACHAL PRADESH,3,2012,Matriculate/Secondary,20,6,26
ARUNACHAL PRADESH,3,2012,Hr. Secondary/Intermediate/Pre-University,4,0,4
ARUNACHAL PRADESH,3,2012,Diploma,0,0,0
ARUNACHAL PRADESH,3,2012,Graduate,1,1,2
ARUNACHAL PRADESH,3,2012,Post Graduate and Above,4,2,6
ARUNACHAL PRADESH,3,2013,No Education,46,19,65
ARUNACHAL PRADESH,3,2013,Primary,42,14,56
ARUNACHAL PRADESH,3,2013,Middle,37,14,51
ARUNACHAL PRADESH,3,2013,Matriculate/Secondary,33,5,38
ARUNACHAL PRADESH,3,2013,Hr. Secondary/Intermediate/Pre-University,11,5,16
ARUNACHAL PRADESH,3,2013,Diploma,0,0,0
ARUNACHAL PRADESH,3,2013,Graduate,2,1,3
ARUNACHAL PRADESH,3,2013,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,3,2014,No Education,25,13,38
ARUNACHAL PRADESH,3,2014,Primary,12,0,12
ARUNACHAL PRADESH,3,2014,Middle,14,10,24
ARUNACHAL PRADESH,3,2014,Matriculate/Secondary,11,10,21
ARUNACHAL PRADESH,3,2014,Hr. Secondary/Intermediate/Pre-University,11,7,18
ARUNACHAL PRADESH,3,2014,Diploma,2,0,2
ARUNACHAL PRADESH,3,2014,Graduate,5,0,5
ARUNACHAL PRADESH,3,2014,Post Graduate and Above,1,0,1
ASSAM,4,2001,No Education,350,182,532
ASSAM,4,2001,Primary,542,269,811
ASSAM,4,2001,Middle,497,244,741
ASSAM,4,2001,Matriculate/Secondary,311,66,377
ASSAM,4,2001,Hr. Secondary/Intermediate/Pre-University,110,46,156
ASSAM,4,2001,Diploma,3,0,3
ASSAM,4,2001,Graduate,23,4,27
ASSAM,4,2001,Post Graduate and Above,0,0,0
ASSAM,4,2002,No Education,379,215,594
ASSAM,4,2002,Primary,414,214,628
ASSAM,4,2002,Middle,553,264,817
ASSAM,4,2002,Matriculate/Secondary,275,87,362
ASSAM,4,2002,Hr. Secondary/Intermediate/Pre-University,62,23,85
ASSAM,4,2002,Diploma,4,0,4
ASSAM,4,2002,Graduate,9,3,12
ASSAM,4,2002,Post Graduate and Above,6,2,8
ASSAM,4,2003,No Education,238,191,429
ASSAM,4,2003,Primary,510,259,769
ASSAM,4,2003,Middle,420,245,665
ASSAM,4,2003,Matriculate/Secondary,290,97,387
ASSAM,4,2003,Hr. Secondary/Intermediate/Pre-University,174,86,260
ASSAM,4,2003,Diploma,14,6,20
ASSAM,4,2003,Graduate,20,17,37
ASSAM,4,2003,Post Graduate and Above,10,19,29
ASSAM,4,2004,No Education,318,172,490
ASSAM,4,2004,Primary,406,187,593
ASSAM,4,2004,Middle,485,305,790
ASSAM,4,2004,Matriculate/Secondary,497,124,621
ASSAM,4,2004,Hr. Secondary/Intermediate/Pre-University,196,78,274
ASSAM,4,2004,Diploma,11,3,14
ASSAM,4,2004,Graduate,20,9,29
ASSAM,4,2004,Post Graduate and Above,12,16,28
ASSAM,4,2005,No Education,358,239,597
ASSAM,4,2005,Primary,453,211,664
ASSAM,4,2005,Middle,605,242,847
ASSAM,4,2005,Matriculate/Secondary,350,145,495
ASSAM,4,2005,Hr. Secondary/Intermediate/Pre-University,130,41,171
ASSAM,4,2005,Diploma,37,10,47
ASSAM,4,2005,Graduate,16,7,23
ASSAM,4,2005,Post Graduate and Above,2,0,2
ASSAM,4,2006,No Education,407,195,602
ASSAM,4,2006,Primary,445,169,614
ASSAM,4,2006,Middle,825,381,1206
ASSAM,4,2006,Matriculate/Secondary,345,134,479
ASSAM,4,2006,Hr. Secondary/Intermediate/Pre-University,72,32,104
ASSAM,4,2006,Diploma,11,1,12
ASSAM,4,2006,Graduate,11,3,14
ASSAM,4,2006,Post Graduate and Above,0,0,0
ASSAM,4,2007,No Education,305,199,504
ASSAM,4,2007,Primary,398,176,574
ASSAM,4,2007,Middle,841,386,1227
ASSAM,4,2007,Matriculate/Secondary,378,137,515
ASSAM,4,2007,Hr. Secondary/Intermediate/Pre-University,144,41,185
ASSAM,4,2007,Diploma,19,3,22
ASSAM,4,2007,Graduate,27,3,30
ASSAM,4,2007,Post Graduate and Above,4,1,5
ASSAM,4,2008,No Education,485,301,786
ASSAM,4,2008,Primary,395,233,628
ASSAM,4,2008,Middle,605,284,889
ASSAM,4,2008,Matriculate/Secondary,318,137,455
ASSAM,4,2008,Hr. Secondary/Intermediate/Pre-University,114,51,165
ASSAM,4,2008,Diploma,19,8,27
ASSAM,4,2008,Graduate,34,5,39
ASSAM,4,2008,Post Graduate and Above,0,0,0
ASSAM,4,2009,No Education,302,233,535
ASSAM,4,2009,Primary,355,220,575
ASSAM,4,2009,Middle,562,351,913
ASSAM,4,2009,Matriculate/Secondary,426,212,638
ASSAM,4,2009,Hr. Secondary/Intermediate/Pre-University,185,58,243
ASSAM,4,2009,Diploma,40,5,45
ASSAM,4,2009,Graduate,10,2,12
ASSAM,4,2009,Post Graduate and Above,2,3,5
ASSAM,4,2010,No Education,368,221,589
ASSAM,4,2010,Primary,346,172,518
ASSAM,4,2010,Middle,716,282,998
ASSAM,4,2010,Matriculate/Secondary,362,173,535
ASSAM,4,2010,Hr. Secondary/Intermediate/Pre-University,200,114,314
ASSAM,4,2010,Diploma,13,1,14
ASSAM,4,2010,Graduate,19,4,23
ASSAM,4,2010,Post Graduate and Above,2,0,2
ASSAM,4,2011,No Education,286,199,485
ASSAM,4,2011,Primary,360,230,590
ASSAM,4,2011,Middle,568,289,857
ASSAM,4,2011,Matriculate/Secondary,371,119,490
ASSAM,4,2011,Hr. Secondary/Intermediate/Pre-University,199,51,250
ASSAM,4,2011,Diploma,8,0,8
ASSAM,4,2011,Graduate,32,12,44
ASSAM,4,2011,Post Graduate and Above,2,0,2
ASSAM,4,2012,No Education,265,123,388
ASSAM,4,2012,Primary,398,171,569
ASSAM,4,2012,Middle,719,263,982
ASSAM,4,2012,Matriculate/Secondary,551,193,744
ASSAM,4,2012,Hr. Secondary/Intermediate/Pre-University,368,107,475
ASSAM,4,2012,Diploma,39,5,44
ASSAM,4,2012,Graduate,50,10,60
ASSAM,4,2012,Post Graduate and Above,2,0,2
ASSAM,4,2013,No Education,355,182,537
ASSAM,4,2013,Primary,490,196,686
ASSAM,4,2013,Middle,818,319,1137
ASSAM,4,2013,Matriculate/Secondary,540,165,705
ASSAM,4,2013,Hr. Secondary/Intermediate/Pre-University,318,120,438
ASSAM,4,2013,Diploma,5,2,7
ASSAM,4,2013,Graduate,31,11,42
ASSAM,4,2013,Post Graduate and Above,1,0,1
ASSAM,4,2014,No Education,312,187,499
ASSAM,4,2014,Primary,440,212,652
ASSAM,4,2014,Middle,651,263,914
ASSAM,4,2014,Matriculate/Secondary,411,116,527
ASSAM,4,2014,Hr. Secondary/Intermediate/Pre-University,205,56,261
ASSAM,4,2014,Diploma,1,0,1
ASSAM,4,2014,Graduate,2,1,3
ASSAM,4,2014,Post Graduate and Above,0,0,0
BIHAR,5,2001,No Education,85,140,225
BIHAR,5,2001,Primary,46,50,96
BIHAR,5,2001,Middle,64,53,117
BIHAR,5,2001,Matriculate/Secondary,73,35,108
BIHAR,5,2001,Hr. Secondary/Intermediate/Pre-University,24,12,36
BIHAR,5,2001,Diploma,2,3,5
BIHAR,5,2001,Graduate,11,3,14
BIHAR,5,2001,Post Graduate and Above,2,0,2
BIHAR,5,2002,No Education,139,151,290
BIHAR,5,2002,Primary,109,62,171
BIHAR,5,2002,Middle,74,47,121
BIHAR,5,2002,Matriculate/Secondary,76,22,98
BIHAR,5,2002,Hr. Secondary/Intermediate/Pre-University,18,8,26
BIHAR,5,2002,Diploma,5,0,5
BIHAR,5,2002,Graduate,3,2,5
BIHAR,5,2002,Post Graduate and Above,2,2,4
BIHAR,5,2003,No Education,102,100,202
BIHAR,5,2003,Primary,66,40,106
BIHAR,5,2003,Middle,64,42,106
BIHAR,5,2003,Matriculate/Secondary,77,31,108
BIHAR,5,2003,Hr. Secondary/Intermediate/Pre-University,24,22,46
BIHAR,5,2003,Diploma,1,0,1
BIHAR,5,2003,Graduate,16,8,24
