STATE.UT,Year,id,CAUSE,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Total.Male,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above,Total.Female,Total.upto.14.years,Total.15.29.years,Total.30.44.years,Total.45.59.years,Total.60.years.and.above,Total
A & N ISLANDS,2003,1,Agriculture (Total),0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
A & N ISLANDS,2003,1,Retired Persons,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2
A & N ISLANDS,2004,1,House Wife,0,0,0,0,0,0,0,10,11,3,1,25,0,10,11,3,1,25
A & N ISLANDS,2004,1,Service (Government),0,4,7,7,0,18,0,0,2,0,0,2,0,4,9,7,0,20
A & N ISLANDS,2004,1,Service (Private),0,13,13,6,4,36,0,1,0,0,0,1,0,14,13,6,4,37
A & N ISLANDS,2004,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2004,1,Students,0,8,0,0,0,8,1,7,0,0,0,8,1,15,0,0,0,16
A & N ISLANDS,2004,1,Unemployed,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A & N ISLANDS,2004,1,Professional Activity,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,2
A & N ISLANDS,2004,1,Agriculture (Total),0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,0,2,3
A & N ISLANDS,2004,1,Retired Persons,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2
A & N ISLANDS,2005,1,House Wife,0,0,0,0,0,0,0,11,7,10,4,32,0,11,7,10,4,32
A & N ISLANDS,2005,1,Service (Government),0,1,5,7,0,13,0,0,0,0,0,0,0,1,5,7,0,13
A & N ISLANDS,2005,1,Service (Private),0,9,12,14,12,47,0,4,0,0,0,4,0,13,12,14,12,51
A & N ISLANDS,2005,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2005,1,Students,2,3,0,0,0,5,3,4,0,0,0,7,5,7,0,0,0,12
A & N ISLANDS,2005,1,Unemployed,0,1,1,1,0,3,0,8,0,0,1,9,0,9,1,1,1,12
A & N ISLANDS,2005,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2005,1,Agriculture (Total),0,0,2,1,4,7,0,0,1,0,0,1,0,0,3,1,4,8
A & N ISLANDS,2005,1,Retired Persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2006,1,House Wife,0,0,0,0,0,0,0,18,10,3,2,33,0,18,10,3,2,33
A & N ISLANDS,2006,1,Service (Government),0,3,4,4,0,11,0,0,0,0,0,0,0,3,4,4,0,11
A & N ISLANDS,2006,1,Service (Private),0,10,28,18,6,62,0,1,0,0,0,1,0,11,28,18,6,63
A & N ISLANDS,2006,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2006,1,Students,1,0,0,0,0,1,1,2,0,0,0,3,2,2,0,0,0,4
A & N ISLANDS,2006,1,Unemployed,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2
A & N ISLANDS,2006,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2006,1,Agriculture (Total),0,2,2,1,1,6,0,0,0,0,0,0,0,2,2,1,1,6
A & N ISLANDS,2006,1,Retired Persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2007,1,House Wife,0,0,0,0,0,0,0,10,10,8,2,30,0,10,10,8,2,30
A & N ISLANDS,2007,1,Service (Government),0,1,4,4,0,9,0,1,0,0,0,1,0,2,4,4,0,10
A & N ISLANDS,2007,1,Service (Private),0,17,12,8,2,39,0,1,0,0,0,1,0,18,12,8,2,40
A & N ISLANDS,2007,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2007,1,Students,0,4,0,0,0,4,4,9,0,0,0,13,4,13,0,0,0,17
A & N ISLANDS,2007,1,Unemployed,0,9,1,1,1,12,0,0,0,0,0,0,0,9,1,1,1,12
A & N ISLANDS,2007,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2007,1,Agriculture (Total),0,4,3,5,4,16,0,0,0,0,0,0,0,4,3,5,4,16
A & N ISLANDS,2007,1,Retired Persons,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,3
A & N ISLANDS,2008,1,House Wife,0,0,0,0,0,0,0,10,13,5,4,32,0,10,13,5,4,32
A & N ISLANDS,2008,1,Service (Government),0,2,2,3,0,7,0,0,0,0,0,0,0,2,2,3,0,7
A & N ISLANDS,2008,1,Service (Private),0,17,15,8,3,43,0,1,0,0,0,1,0,18,15,8,3,44
A & N ISLANDS,2008,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2008,1,Students,0,4,0,0,0,4,0,7,0,0,0,7,0,11,0,0,0,11
A & N ISLANDS,2008,1,Unemployed,0,2,1,0,2,5,0,0,0,0,0,0,0,2,1,0,2,5
A & N ISLANDS,2008,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2008,1,Agriculture (Total),0,5,8,6,4,23,0,0,0,0,0,0,0,5,8,6,4,23
A & N ISLANDS,2008,1,Retired Persons,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,1,3,4
A & N ISLANDS,2009,1,House Wife,0,0,0,0,0,0,0,14,10,4,1,29,0,14,10,4,1,29
A & N ISLANDS,2009,1,Service (Government),0,0,3,9,1,13,0,0,1,0,0,1,0,0,4,9,1,14
A & N ISLANDS,2009,1,Service (Private),0,20,10,10,2,42,0,0,2,0,0,2,0,20,12,10,2,44
A & N ISLANDS,2009,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2009,1,Students,1,2,0,0,0,3,7,3,0,0,0,10,8,5,0,0,0,13
A & N ISLANDS,2009,1,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2009,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2009,1,Agriculture (Total),0,5,7,5,2,19,0,0,0,0,0,0,0,5,7,5,2,19
A & N ISLANDS,2009,1,Retired Persons,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
A & N ISLANDS,2010,1,House Wife,0,0,0,0,0,0,0,15,11,2,3,31,0,15,11,2,3,31
A & N ISLANDS,2010,1,Service (Government),0,3,8,7,0,18,0,1,0,0,0,1,0,4,8,7,0,19
A & N ISLANDS,2010,1,Service (Private),0,16,19,10,3,48,0,2,0,0,0,2,0,18,19,10,3,50
A & N ISLANDS,2010,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2010,1,Students,4,4,0,0,0,8,0,6,0,0,0,6,4,10,0,0,0,14
A & N ISLANDS,2010,1,Unemployed,0,13,0,0,0,13,0,4,0,0,0,4,0,17,0,0,0,17
A & N ISLANDS,2010,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2010,1,Agriculture (Total),0,1,2,0,5,8,0,0,0,0,0,0,0,1,2,0,5,8
A & N ISLANDS,2010,1,Retired Persons,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8
A & N ISLANDS,2011,1,House Wife,0,0,0,0,0,0,0,3,4,2,1,10,0,3,4,2,1,10
A & N ISLANDS,2011,1,Service (Government),0,7,6,4,1,18,0,2,1,1,0,4,0,9,7,5,1,22
A & N ISLANDS,2011,1,Service (Private),0,7,17,8,1,33,0,4,4,1,1,10,0,11,21,9,2,43
A & N ISLANDS,2011,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2011,1,Students,1,9,0,0,0,10,4,8,0,1,0,13,5,17,0,1,0,23
A & N ISLANDS,2011,1,Unemployed,0,3,5,2,0,10,0,0,0,1,0,1,0,3,5,3,0,11
A & N ISLANDS,2011,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2011,1,Agriculture (Total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2011,1,Retired Persons,0,0,0,0,5,5,0,0,1,0,0,1,0,0,1,0,5,6
A & N ISLANDS,2012,1,House Wife,0,0,0,0,0,0,0,11,11,2,4,28,0,11,11,2,4,28
A & N ISLANDS,2012,1,Service (Government),0,1,5,11,1,18,0,1,1,1,0,3,0,2,6,12,1,21
A & N ISLANDS,2012,1,Service (Private),0,12,21,9,7,49,0,1,0,0,0,1,0,13,21,9,7,50
A & N ISLANDS,2012,1,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2012,1,Students,2,2,0,0,0,4,1,4,0,0,0,5,3,6,0,0,0,9
A & N ISLANDS,2012,1,Unemployed,0,4,0,0,0,4,0,1,0,0,0,1,0,5,0,0,0,5
A & N ISLANDS,2012,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2012,1,Agriculture (Total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2012,1,Retired Persons,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
A & N ISLANDS,2013,1,House Wife,0,0,0,0,0,0,0,10,7,3,1,21,0,10,7,3,1,21
A & N ISLANDS,2013,1,Service (Government),0,2,8,9,0,19,0,0,1,1,0,2,0,2,9,10,0,21
A & N ISLANDS,2013,1,Service (Private),0,25,18,16,5,64,0,0,1,0,0,1,0,25,19,16,5,65
A & N ISLANDS,2013,1,Public Sector Undertaking,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
A & N ISLANDS,2013,1,Students,4,8,0,0,0,12,2,8,0,0,0,10,6,16,0,0,0,22
A & N ISLANDS,2013,1,Unemployed,0,0,2,0,1,3,0,4,2,0,0,6,0,4,4,0,1,9
A & N ISLANDS,2013,1,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,1,Agriculture (Total),0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,1,4,5
A & N ISLANDS,2013,1,Retired Persons,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4
A & N ISLANDS,2014,1,House Wife,0,0,0,0,0,0,0,7,1,2,4,14,0,7,1,2,4,14
A & N ISLANDS,2014,1,Service (Government),0,1,3,5,0,9,0,0,0,0,0,0,0,1,3,5,0,9
A & N ISLANDS,2014,1,Service (Private),0,27,25,19,7,78,0,2,2,0,0,4,0,29,27,19,7,82
A & N ISLANDS,2014,1,Public Sector Undertaking,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A & N ISLANDS,2014,1,Students,0,4,0,0,0,4,2,11,0,0,0,13,2,15,0,0,0,17
A & N ISLANDS,2014,1,Unemployed,1,1,3,0,3,8,0,2,1,0,1,4,1,3,4,0,4,12
A & N ISLANDS,2014,1,Agriculture (Total),0,1,3,0,3,7,0,1,0,0,0,1,0,2,3,0,3,8
A & N ISLANDS,2014,1,Retired Persons,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
ANDHRA PRADESH,2001,2,House Wife,0,0,0,0,0,0,0,1132,811,397,104,2444,0,1132,811,397,104,2444
ANDHRA PRADESH,2001,2,Service (Government),0,34,57,44,0,135,0,23,22,9,7,61,0,57,79,53,7,196
ANDHRA PRADESH,2001,2,Service (Private),1,250,275,138,10,674,5,43,24,28,6,106,6,293,299,166,16,780
ANDHRA PRADESH,2001,2,Public Sector Undertaking,0,32,36,29,13,110,0,4,5,1,0,10,0,36,41,30,13,120
ANDHRA PRADESH,2001,2,Students,56,202,19,18,0,295,46,115,5,9,0,175,102,317,24,27,0,470
ANDHRA PRADESH,2001,2,Unemployed,1,230,206,94,12,543,1,57,12,8,0,78,2,287,218,102,12,621
ANDHRA PRADESH,2001,2,Professional Activity,13,118,157,80,22,390,5,22,4,10,0,41,18,140,161,90,22,431
ANDHRA PRADESH,2001,2,Agriculture (Total),16,382,480,374,79,1331,12,65,46,45,10,178,28,447,526,419,89,1509
ANDHRA PRADESH,2001,2,Retired Persons,0,0,1,4,16,21,0,0,2,0,3,5,0,0,3,4,19,26
ANDHRA PRADESH,2002,2,House Wife,0,0,0,0,0,0,0,1009,773,319,91,2192,0,1009,773,319,91,2192
ANDHRA PRADESH,2002,2,Service (Government),0,19,56,25,0,100,0,6,10,5,0,21,0,25,66,30,0,121
ANDHRA PRADESH,2002,2,Service (Private),0,248,248,126,7,629,0,44,24,15,4,87,0,292,272,141,11,716
ANDHRA PRADESH,2002,2,Public Sector Undertaking,0,32,47,45,3,127,0,14,13,3,4,34,0,46,60,48,7,161
ANDHRA PRADESH,2002,2,Students,48,238,15,2,0,303,72,134,2,0,0,208,120,372,17,2,0,511
ANDHRA PRADESH,2002,2,Unemployed,0,276,283,115,0,674,0,114,37,18,0,169,0,390,320,133,0,843
ANDHRA PRADESH,2002,2,Professional Activity,0,74,129,124,45,372,0,7,18,24,5,54,0,81,147,148,50,426
ANDHRA PRADESH,2002,2,Agriculture (Total),2,448,609,443,127,1629,2,85,119,53,8,267,4,533,728,496,135,1896
ANDHRA PRADESH,2002,2,Retired Persons,0,0,3,16,17,36,0,0,0,0,0,0,0,0,3,16,17,36
ANDHRA PRADESH,2003,2,House Wife,0,0,0,0,0,0,4,955,622,256,92,1929,4,955,622,256,92,1929
ANDHRA PRADESH,2003,2,Service (Government),0,76,84,79,11,250,0,11,21,4,0,36,0,87,105,83,11,286
ANDHRA PRADESH,2003,2,Service (Private),2,90,166,103,8,369,2,32,43,21,5,103,4,122,209,124,13,472
ANDHRA PRADESH,2003,2,Public Sector Undertaking,0,20,48,37,16,121,0,20,21,11,3,55,0,40,69,48,19,176
ANDHRA PRADESH,2003,2,Students,69,240,39,0,0,348,71,148,2,0,0,221,140,388,41,0,0,569
ANDHRA PRADESH,2003,2,Unemployed,1,224,307,116,0,648,9,52,14,3,0,78,10,276,321,119,0,726
ANDHRA PRADESH,2003,2,Professional Activity,0,104,180,90,16,390,1,6,18,2,0,27,1,110,198,92,16,417
ANDHRA PRADESH,2003,2,Agriculture (Total),7,325,585,376,149,1442,6,81,163,96,12,358,13,406,748,472,161,1800
ANDHRA PRADESH,2003,2,Retired Persons,0,0,15,25,37,77,0,0,3,33,16,52,0,0,18,58,53,129
ANDHRA PRADESH,2004,2,House Wife,0,0,0,0,0,0,0,1163,795,264,93,2315,0,1163,795,264,93,2315
ANDHRA PRADESH,2004,2,Service (Government),0,81,163,51,5,300,0,5,8,1,0,14,0,86,171,52,5,314
ANDHRA PRADESH,2004,2,Service (Private),4,174,248,171,22,619,0,34,35,11,0,80,4,208,283,182,22,699
ANDHRA PRADESH,2004,2,Public Sector Undertaking,0,20,30,10,3,63,0,5,17,1,0,23,0,25,47,11,3,86
ANDHRA PRADESH,2004,2,Students,37,230,48,0,0,315,43,127,7,0,0,177,80,357,55,0,0,492
ANDHRA PRADESH,2004,2,Unemployed,1,175,239,147,0,562,2,46,18,14,0,80,3,221,257,161,0,642
ANDHRA PRADESH,2004,2,Professional Activity,1,87,154,60,27,329,1,24,21,23,12,81,2,111,175,83,39,410
ANDHRA PRADESH,2004,2,Agriculture (Total),2,455,857,687,217,2218,14,154,150,84,46,448,16,609,1007,771,263,2666
ANDHRA PRADESH,2004,2,Retired Persons,0,0,6,33,23,62,0,0,0,17,6,23,0,0,6,50,29,85
ANDHRA PRADESH,2005,2,House Wife,0,0,0,0,0,0,0,932,693,382,172,2179,0,932,693,382,172,2179
ANDHRA PRADESH,2005,2,Service (Government),0,10,43,57,0,110,0,6,24,0,0,30,0,16,67,57,0,140
ANDHRA PRADESH,2005,2,Service (Private),2,213,286,161,37,699,0,69,39,18,5,131,2,282,325,179,42,830
ANDHRA PRADESH,2005,2,Public Sector Undertaking,0,42,109,80,2,233,0,5,36,3,0,44,0,47,145,83,2,277
ANDHRA PRADESH,2005,2,Students,53,197,24,0,0,274,65,155,6,0,0,226,118,352,30,0,0,500
ANDHRA PRADESH,2005,2,Unemployed,1,169,160,52,48,430,0,70,10,0,0,80,1,239,170,52,48,510
ANDHRA PRADESH,2005,2,Professional Activity,0,37,61,43,41,182,1,26,8,3,0,38,1,63,69,46,41,220
ANDHRA PRADESH,2005,2,Agriculture (Total),6,481,729,578,223,2017,22,127,174,85,65,473,28,608,903,663,288,2490
ANDHRA PRADESH,2005,2,Retired Persons,0,2,0,35,20,57,0,1,0,1,1,3,0,3,0,36,21,60
ANDHRA PRADESH,2006,2,House Wife,0,0,0,0,0,0,2,994,750,303,107,2156,2,994,750,303,107,2156
ANDHRA PRADESH,2006,2,Service (Government),4,51,84,44,0,183,0,19,26,3,0,48,4,70,110,47,0,231
ANDHRA PRADESH,2006,2,Service (Private),0,157,240,159,20,576,0,30,35,6,0,71,0,187,275,165,20,647
ANDHRA PRADESH,2006,2,Public Sector Undertaking,0,67,69,48,6,190,0,1,10,3,0,14,0,68,79,51,6,204
ANDHRA PRADESH,2006,2,Students,55,216,12,4,0,287,53,168,4,0,0,225,108,384,16,4,0,512
ANDHRA PRADESH,2006,2,Unemployed,0,169,132,70,0,371,0,34,24,0,0,58,0,203,156,70,0,429
ANDHRA PRADESH,2006,2,Professional Activity,0,66,240,197,49,552,1,12,8,0,1,22,1,78,248,197,50,574
ANDHRA PRADESH,2006,2,Agriculture (Total),15,505,777,489,214,2000,14,241,210,115,27,607,29,746,987,604,241,2607
ANDHRA PRADESH,2006,2,Retired Persons,0,1,3,9,38,51,0,0,5,0,1,6,0,1,8,9,39,57
ANDHRA PRADESH,2007,2,House Wife,0,0,0,0,0,0,0,1105,811,405,159,2480,0,1105,811,405,159,2480
ANDHRA PRADESH,2007,2,Service (Government),0,71,86,63,0,220,1,26,19,9,0,55,1,97,105,72,0,275
ANDHRA PRADESH,2007,2,Service (Private),6,239,490,266,102,1103,3,41,105,72,49,270,9,280,595,338,151,1373
ANDHRA PRADESH,2007,2,Public Sector Undertaking,0,46,99,62,3,210,4,8,13,4,0,29,4,54,112,66,3,239
ANDHRA PRADESH,2007,2,Students,63,327,27,3,0,420,80,193,6,0,0,279,143,520,33,3,0,699
ANDHRA PRADESH,2007,2,Unemployed,0,120,146,74,0,340,7,43,10,3,0,63,7,163,156,77,0,403
ANDHRA PRADESH,2007,2,Professional Activity,2,110,151,109,49,421,7,31,17,3,0,58,9,141,168,112,49,479
ANDHRA PRADESH,2007,2,Agriculture (Total),5,325,620,421,137,1508,20,113,90,53,13,289,25,438,710,474,150,1797
ANDHRA PRADESH,2007,2,Retired Persons,0,1,7,4,55,67,0,0,0,6,5,11,0,1,7,10,60,78
ANDHRA PRADESH,2008,2,House Wife,0,0,0,0,0,0,0,984,1012,381,139,2516,0,984,1012,381,139,2516
ANDHRA PRADESH,2008,2,Service (Government),0,17,108,121,0,246,0,7,37,15,0,59,0,24,145,136,0,305
ANDHRA PRADESH,2008,2,Service (Private),0,239,420,217,92,968,0,68,75,31,15,189,0,307,495,248,107,1157
ANDHRA PRADESH,2008,2,Public Sector Undertaking,4,123,155,181,68,531,0,34,33,21,22,110,4,157,188,202,90,641
ANDHRA PRADESH,2008,2,Students,37,233,19,5,0,294,44,133,9,1,0,187,81,366,28,6,0,481
ANDHRA PRADESH,2008,2,Unemployed,0,185,164,170,0,519,0,7,20,25,0,52,0,192,184,195,0,571
ANDHRA PRADESH,2008,2,Professional Activity,2,60,202,157,38,459,0,25,4,0,4,33,2,85,206,157,42,492
ANDHRA PRADESH,2008,2,Agriculture (Total),2,436,628,505,176,1747,6,142,91,84,35,358,8,578,719,589,211,2105
ANDHRA PRADESH,2008,2,Retired Persons,0,0,21,7,24,52,0,0,5,2,8,15,0,0,26,9,32,67
ANDHRA PRADESH,2009,2,House Wife,0,0,0,0,0,0,0,1033,779,428,151,2391,0,1033,779,428,151,2391
ANDHRA PRADESH,2009,2,Service (Government),0,54,100,57,2,213,0,13,6,2,0,21,0,67,106,59,2,234
ANDHRA PRADESH,2009,2,Service (Private),0,277,468,222,79,1046,0,65,44,33,19,161,0,342,512,255,98,1207
ANDHRA PRADESH,2009,2,Public Sector Undertaking,0,154,203,152,78,587,0,36,20,8,14,78,0,190,223,160,92,665
ANDHRA PRADESH,2009,2,Students,38,293,33,0,0,364,65,164,4,0,0,233,103,457,37,0,0,597
ANDHRA PRADESH,2009,2,Unemployed,0,263,252,129,0,644,0,41,15,14,0,70,0,304,267,143,0,714
ANDHRA PRADESH,2009,2,Professional Activity,0,74,132,249,11,466,0,18,1,3,1,23,0,92,133,252,12,489
ANDHRA PRADESH,2009,2,Agriculture (Total),5,392,885,562,172,2016,5,132,141,100,20,398,10,524,1026,662,192,2414
ANDHRA PRADESH,2009,2,Retired Persons,0,0,0,8,61,69,0,0,25,1,3,29,0,0,25,9,64,98
ANDHRA PRADESH,2010,2,House Wife,0,0,0,0,0,0,0,1067,879,409,246,2601,0,1067,879,409,246,2601
ANDHRA PRADESH,2010,2,Service (Government),0,39,96,52,0,187,0,41,31,0,0,72,0,80,127,52,0,259
ANDHRA PRADESH,2010,2,Service (Private),0,352,361,198,18,929,0,58,36,11,9,114,0,410,397,209,27,1043
ANDHRA PRADESH,2010,2,Public Sector Undertaking,0,156,184,96,49,485,0,9,29,9,0,47,0,165,213,105,49,532
ANDHRA PRADESH,2010,2,Students,41,333,0,0,0,374,62,220,0,0,0,282,103,553,0,0,0,656
ANDHRA PRADESH,2010,2,Unemployed,0,266,208,87,0,561,0,27,48,0,0,75,0,293,256,87,0,636
ANDHRA PRADESH,2010,2,Professional Activity,0,86,75,37,20,218,0,6,1,2,1,10,0,92,76,39,21,228
ANDHRA PRADESH,2010,2,Agriculture (Total),4,563,824,573,166,2130,12,165,137,40,41,395,16,728,961,613,207,2525
ANDHRA PRADESH,2010,2,Retired Persons,0,0,0,9,57,66,0,0,0,11,7,18,0,0,0,20,64,84
ANDHRA PRADESH,2011,2,House Wife,0,0,0,0,0,0,1,1007,832,332,116,2288,1,1007,832,332,116,2288
ANDHRA PRADESH,2011,2,Service (Government),0,12,41,36,0,89,0,10,8,2,0,20,0,22,49,38,0,109
ANDHRA PRADESH,2011,2,Service (Private),0,311,543,419,114,1387,0,91,104,36,12,243,0,402,647,455,126,1630
ANDHRA PRADESH,2011,2,Public Sector Undertaking,0,99,83,81,25,288,0,22,51,3,3,79,0,121,134,84,28,367
ANDHRA PRADESH,2011,2,Students,45,235,7,0,0,287,59,216,1,0,0,276,104,451,8,0,0,563
ANDHRA PRADESH,2011,2,Unemployed,0,181,248,98,8,535,0,59,30,14,4,107,0,240,278,112,12,642
ANDHRA PRADESH,2011,2,Professional Activity,0,116,123,76,25,340,0,21,11,9,11,52,0,137,134,85,36,392
ANDHRA PRADESH,2011,2,Agriculture (Total),5,463,670,541,143,1822,3,202,102,67,10,384,8,665,772,608,153,2206
ANDHRA PRADESH,2011,2,Retired Persons,0,0,0,5,30,35,0,0,0,1,5,6,0,0,0,6,35,41
ANDHRA PRADESH,2012,2,House Wife,0,0,0,0,0,0,1,946,669,401,126,2143,1,946,669,401,126,2143
ANDHRA PRADESH,2012,2,Service (Government),0,18,42,45,3,108,0,7,16,6,0,29,0,25,58,51,3,137
ANDHRA PRADESH,2012,2,Service (Private),0,411,563,244,50,1268,0,84,67,24,10,185,0,495,630,268,60,1453
ANDHRA PRADESH,2012,2,Public Sector Undertaking,0,70,124,60,26,280,0,9,38,2,2,51,0,79,162,62,28,331
ANDHRA PRADESH,2012,2,Students,35,222,19,0,0,276,54,225,4,0,0,283,89,447,23,0,0,559
ANDHRA PRADESH,2012,2,Unemployed,0,195,266,133,46,640,0,81,33,11,2,127,0,276,299,144,48,767
ANDHRA PRADESH,2012,2,Professional Activity,0,85,142,98,9,334,1,15,14,1,0,31,1,100,156,99,9,365
