STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Transgender upto 14 years,Transgender 15-29 years,Transgender 30-44 years,Transgender 45-59 years,Transgender 60 years and above,Total Transgender,Grand Total
Assam,2014,Other Family problems,1,75,90,49,0,215,0,60,34,15,2,111,0,0,0,0,0,0,326
Assam,2014,Illness,0,35,43,36,8,122,0,8,12,3,0,23,0,0,0,0,0,0,145
Assam,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2014,Cancer,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Assam,2014,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2014,Insanity/Mental illness,0,2,2,5,1,10,0,0,0,1,0,1,0,0,0,0,0,0,11
Assam,2014,Other prolonged illness,0,33,41,31,5,110,0,8,12,2,0,22,0,0,0,0,0,0,132
Assam,2014,Death of dear person,0,15,14,12,0,41,0,0,0,0,0,0,0,0,0,0,0,0,41
Assam,2014,Drug abuse/addiction,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Assam,2014,Fall in social reputation,0,6,6,7,3,22,2,2,1,0,0,5,0,0,0,0,0,0,27
Assam,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2014,Love affairs,0,209,113,12,1,335,1,126,57,0,0,184,0,0,0,0,0,0,519
Assam,2014,Poverty,0,27,35,22,0,84,0,3,8,0,0,11,0,0,0,0,0,0,95
Assam,2014,Unemployment,0,25,26,24,4,79,0,2,1,0,0,3,0,0,0,0,0,0,82
Assam,2014,Property dispute,0,45,74,55,1,175,0,19,27,0,0,46,0,0,0,0,0,0,221
Assam,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2
Assam,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2014,Professional/Career Problem,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Assam,2014,Causes not known,4,206,250,155,24,639,0,137,107,69,6,319,0,0,0,0,0,0,958
Assam,2014,Other causes,2,216,250,132,18,618,1,109,58,26,2,196,0,0,0,0,0,0,814
Assam,2014,Total,7,1019,915,510,59,2510,4,595,313,114,10,1036,0,0,0,0,0,0,3546
Bihar,2014,Bankruptcy or indebtedness,0,1,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
Bihar,2014,Marriage Related Issues,0,47,17,19,1,84,0,60,23,3,0,86,0,0,0,0,0,0,170
Bihar,2014,Non Settlement of Marriage,0,16,3,0,0,19,0,11,6,0,0,17,0,0,0,0,0,0,36
Bihar,2014,Dowry Related Issues,0,0,2,1,0,3,0,28,2,0,0,30,0,0,0,0,0,0,33
Bihar,2014,Extra Marital affairs,0,10,3,0,0,13,0,3,0,0,0,3,0,0,0,0,0,0,16
Bihar,2014,Divorce,0,1,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,4
Bihar,2014,Others,0,20,9,18,1,48,0,18,12,3,0,33,0,0,0,0,0,0,81
Bihar,2014,Failure in Examination,1,17,1,0,0,19,0,18,5,0,0,23,0,0,0,0,0,0,42
Bihar,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2
Bihar,2014,Other Family problems,0,19,19,8,0,46,1,26,18,3,2,50,0,0,0,0,0,0,96
Bihar,2014,Illness,0,1,6,8,2,17,0,1,8,9,0,18,0,0,0,0,0,0,35
Bihar,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Cancer,0,0,2,2,0,4,0,0,3,2,0,5,0,0,0,0,0,0,9
Bihar,2014,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Insanity/Mental illness,0,1,3,1,0,5,0,0,1,1,0,2,0,0,0,0,0,0,7
Bihar,2014,Other prolonged illness,0,0,1,5,2,8,0,1,4,6,0,11,0,0,0,0,0,0,19
Bihar,2014,Death of dear person,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3
Bihar,2014,Drug abuse/addiction,1,9,3,0,0,13,0,0,2,1,0,3,0,0,0,0,0,0,16
Bihar,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Love affairs,4,16,0,0,0,20,1,23,8,0,0,32,0,0,0,0,0,0,52
Bihar,2014,Poverty,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Bihar,2014,Unemployment,0,3,37,0,50,90,0,0,10,6,0,16,0,0,0,0,0,0,106
Bihar,2014,Property dispute,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Bihar,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,3
Bihar,2014,Professional/Career Problem,0,2,0,1,0,3,0,0,2,0,0,2,0,0,0,0,0,0,5
Bihar,2014,Causes not known,0,4,8,4,0,16,0,4,4,0,0,8,0,0,0,0,0,0,24
Bihar,2014,Other causes,5,41,36,17,1,100,2,30,18,3,0,53,0,0,0,0,0,0,153
Bihar,2014,Total,11,161,134,62,54,422,4,165,101,25,2,297,0,0,0,0,0,0,719
Chhattisgarh,2014,Bankruptcy or indebtedness,0,2,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6
Chhattisgarh,2014,Marriage Related Issues,4,29,25,12,6,76,1,133,37,15,13,199,0,0,0,0,0,0,275
Chhattisgarh,2014,Non Settlement of Marriage,2,7,2,0,0,11,0,7,2,0,0,9,0,0,0,0,0,0,20
Chhattisgarh,2014,Dowry Related Issues,0,2,2,4,1,9,0,88,18,10,11,127,0,0,0,0,0,0,136
Chhattisgarh,2014,Extra Marital affairs,0,3,2,0,0,5,0,11,6,3,0,20,0,0,0,0,0,0,25
Chhattisgarh,2014,Divorce,0,3,7,3,2,15,0,3,5,0,0,8,0,0,0,0,0,0,23
Chhattisgarh,2014,Others,2,14,12,5,3,36,1,24,6,2,2,35,0,0,0,0,0,0,71
Chhattisgarh,2014,Failure in Examination,11,38,0,0,0,49,7,37,0,0,0,44,0,0,0,0,0,0,93
Chhattisgarh,2014,Impotency/Infertility,0,24,0,1,0,25,0,29,18,3,1,51,0,0,0,0,0,0,76
Chhattisgarh,2014,Other Family problems,3,173,210,137,21,544,3,160,93,33,18,307,0,0,0,0,0,0,851
Chhattisgarh,2014,Illness,0,177,187,195,67,626,4,101,82,82,33,302,0,0,0,0,0,0,928
Chhattisgarh,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Cancer,0,0,0,1,0,1,0,2,0,2,0,4,0,0,0,0,0,0,5
Chhattisgarh,2014,Paralysis,0,4,2,11,6,23,0,0,5,7,9,21,0,0,0,0,0,0,44
Chhattisgarh,2014,Insanity/Mental illness,0,89,68,65,18,240,3,35,25,29,10,102,0,0,0,0,0,0,342
Chhattisgarh,2014,Other prolonged illness,0,84,117,118,43,362,1,64,52,44,14,175,0,0,0,0,0,0,537
Chhattisgarh,2014,Death of dear person,0,3,3,13,0,19,0,2,2,1,2,7,0,0,0,0,0,0,26
Chhattisgarh,2014,Drug abuse/addiction,0,43,32,18,4,97,0,2,0,0,0,2,0,0,0,0,0,0,99
Chhattisgarh,2014,Fall in social reputation,0,1,1,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,6
Chhattisgarh,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Love affairs,0,92,26,1,0,119,2,40,3,1,0,46,0,0,0,0,0,0,165
Chhattisgarh,2014,Poverty,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Chhattisgarh,2014,Unemployment,0,14,6,2,0,22,0,0,1,0,0,1,0,0,0,0,0,0,23
Chhattisgarh,2014,Property dispute,0,0,4,0,0,4,0,1,3,0,0,4,0,0,0,0,0,0,8
Chhattisgarh,2014,Suspected/Illicit relation,0,0,5,4,0,9,0,11,4,0,0,15,0,0,0,0,0,0,24
Chhattisgarh,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Chhattisgarh,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Chhattisgarh,2014,Professional/Career Problem,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,4
Chhattisgarh,2014,Causes not known,13,362,315,160,52,902,12,255,109,45,12,433,0,0,0,0,0,0,1335
Chhattisgarh,2014,Other causes,24,511,407,215,99,1256,14,263,128,65,34,504,0,0,0,0,0,0,1760
Chhattisgarh,2014,Total,55,1471,1222,766,249,3763,43,1039,480,245,113,1920,0,0,0,0,0,0,5683
Goa,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Marriage Related Issues,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3
Goa,2014,Non Settlement of Marriage,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Goa,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Others,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
Goa,2014,Failure in Examination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Other Family problems,0,7,5,8,4,24,0,9,5,1,0,15,0,0,0,0,0,0,39
Goa,2014,Illness,1,6,19,15,9,50,0,3,7,6,10,26,0,0,0,0,0,0,76
Goa,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Cancer,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,3
Goa,2014,Paralysis,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Goa,2014,Insanity/Mental illness,1,1,12,11,3,28,0,2,5,1,6,14,0,0,0,0,0,0,42
Goa,2014,Other prolonged illness,0,5,5,3,6,19,0,1,2,4,4,11,0,0,0,0,0,0,30
Goa,2014,Death of dear person,0,0,0,1,0,1,1,0,0,2,0,3,0,0,0,0,0,0,4
Goa,2014,Drug abuse/addiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Love affairs,0,6,1,0,0,7,0,9,0,0,0,9,0,0,0,0,0,0,16
Goa,2014,Poverty,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Goa,2014,Unemployment,0,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Goa,2014,Property dispute,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Goa,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Professional/Career Problem,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Goa,2014,Causes not known,0,17,19,15,4,55,1,10,6,1,1,19,0,0,0,0,0,0,74
Goa,2014,Other causes,0,21,19,12,1,53,0,7,5,3,0,15,0,0,0,0,0,0,68
Goa,2014,Total,1,64,68,52,18,203,2,39,23,13,11,88,0,0,0,0,0,0,291
Gujarat,2014,Bankruptcy or indebtedness,0,14,38,20,2,74,0,4,4,2,0,10,0,0,0,0,0,0,84
Gujarat,2014,Marriage Related Issues,1,105,109,20,2,237,0,111,53,5,1,170,0,0,0,0,0,0,407
Gujarat,2014,Non Settlement of Marriage,0,18,5,1,0,24,0,22,2,0,0,24,0,0,0,0,0,0,48
Gujarat,2014,Dowry Related Issues,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,10
Gujarat,2014,Extra Marital affairs,0,2,8,0,0,10,0,6,5,0,0,11,0,0,0,0,0,0,21
Gujarat,2014,Divorce,0,11,11,0,0,22,0,7,6,0,0,13,0,0,0,0,0,0,35
Gujarat,2014,Others,1,74,85,19,2,181,0,66,40,5,1,112,0,0,0,0,0,0,293
Gujarat,2014,Failure in Examination,3,53,1,0,0,57,2,46,0,0,0,48,0,0,0,0,0,0,105
Gujarat,2014,Impotency/Infertility,0,2,4,1,0,7,0,7,7,2,0,16,0,0,0,0,0,0,23
Gujarat,2014,Other Family problems,5,160,168,77,13,423,3,193,93,34,8,331,0,0,0,0,0,0,754
Gujarat,2014,Illness,0,181,304,220,117,822,3,129,164,106,88,490,0,0,0,0,0,0,1312
Gujarat,2014,AIDS/STD,0,1,8,2,1,12,0,0,1,0,1,2,0,0,0,0,0,0,14
Gujarat,2014,Cancer,0,4,7,12,3,26,0,1,1,1,1,4,0,0,0,0,0,0,30
Gujarat,2014,Paralysis,0,2,1,4,3,10,0,1,2,1,0,4,0,0,0,0,0,0,14
Gujarat,2014,Insanity/Mental illness,0,84,90,66,19,259,0,56,72,35,21,184,0,0,0,0,0,0,443
Gujarat,2014,Other prolonged illness,0,90,198,136,91,515,3,71,88,69,65,296,0,0,0,0,0,0,811
Gujarat,2014,Death of dear person,0,14,13,11,5,43,1,16,2,2,2,23,0,0,0,0,0,0,66
Gujarat,2014,Drug abuse/addiction,1,18,18,8,3,48,2,8,7,3,0,20,0,0,0,0,0,0,68
Gujarat,2014,Fall in social reputation,0,4,4,7,1,16,0,1,0,1,0,2,0,0,0,0,0,0,18
Gujarat,2014,Ideological causes/Hero worshipping,0,3,3,0,0,6,0,1,1,0,0,2,0,0,0,0,0,0,8
Gujarat,2014,Love affairs,2,109,37,1,0,149,4,109,11,0,0,124,0,0,0,0,0,0,273
Gujarat,2014,Poverty,0,13,22,10,0,45,0,9,7,0,1,17,0,0,0,0,0,0,62
Gujarat,2014,Unemployment,0,77,89,36,5,207,0,1,2,1,0,4,0,0,0,0,0,0,211
Gujarat,2014,Property dispute,0,3,6,3,0,12,0,1,1,1,0,3,0,0,0,0,0,0,15
Gujarat,2014,Suspected/Illicit relation,0,3,7,0,0,10,0,8,4,0,0,12,0,0,0,0,0,0,22
Gujarat,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2
Gujarat,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,0,5
Gujarat,2014,Professional/Career Problem,0,16,24,8,0,48,0,2,3,0,0,5,0,0,0,0,0,0,53
Gujarat,2014,Causes not known,8,320,275,162,42,807,4,239,144,70,24,481,0,0,0,0,0,0,1288
Gujarat,2014,Other causes,8,674,585,245,80,1592,7,446,258,110,36,857,0,0,0,0,0,0,2449
Gujarat,2014,Total,28,1769,1707,829,270,4603,26,1334,765,337,160,2622,0,0,0,0,0,0,7225
Haryana,2014,Bankruptcy or indebtedness,0,0,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
Haryana,2014,Marriage Related Issues,0,3,3,2,0,8,0,23,5,0,0,28,0,0,0,0,0,0,36
Haryana,2014,Non Settlement of Marriage,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
Haryana,2014,Dowry Related Issues,0,0,1,0,0,1,0,12,5,0,0,17,0,0,0,0,0,0,18
Haryana,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Others,0,2,2,2,0,6,0,10,0,0,0,10,0,0,0,0,0,0,16
Haryana,2014,Failure in Examination,2,21,0,0,0,23,1,7,0,0,0,8,0,0,0,0,0,0,31
Haryana,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Other Family problems,2,100,98,34,6,240,2,56,45,5,2,110,0,0,0,0,0,0,350
Haryana,2014,Illness,0,56,93,102,33,284,1,38,16,13,2,70,0,0,0,0,0,0,354
Haryana,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Cancer,0,0,1,4,2,7,0,0,1,0,1,2,0,0,0,0,0,0,9
Haryana,2014,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Insanity/Mental illness,0,21,26,9,1,57,0,15,3,4,0,22,0,0,0,0,0,0,79
Haryana,2014,Other prolonged illness,0,35,66,89,30,220,1,23,12,9,1,46,0,0,0,0,0,0,266
Haryana,2014,Death of dear person,0,0,3,0,0,3,0,3,0,0,1,4,0,0,0,0,0,0,7
Haryana,2014,Drug abuse/addiction,0,15,42,25,4,86,0,0,0,0,0,0,0,0,0,0,0,0,86
Haryana,2014,Fall in social reputation,0,9,8,3,1,21,0,9,3,0,0,12,0,0,0,0,0,0,33
Haryana,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Love affairs,0,12,2,0,0,14,0,9,0,0,0,9,0,0,0,0,0,0,23
Haryana,2014,Poverty,0,1,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,4
Haryana,2014,Unemployment,0,23,14,0,0,37,0,0,1,0,0,1,0,0,0,0,0,0,38
Haryana,2014,Property dispute,0,19,21,13,4,57,0,5,2,3,0,10,0,0,0,0,0,0,67
