STATE/UT,Year,CAUSE,Male,Female,Transgender,Total
ANDHRA PRADESH,2009,Divorcee,164,83,0,247
ANDHRA PRADESH,2009,Seperated,421,122,0,543
ANDHRA PRADESH,2009,Total,9887,4613,0,14500
ANDHRA PRADESH,2010,Never Married,1506,669,0,2175
ANDHRA PRADESH,2010,Married,8659,3706,0,12365
ANDHRA PRADESH,2010,Widowed/Widower,315,290,0,605
ANDHRA PRADESH,2010,Divorcee,122,104,0,226
ANDHRA PRADESH,2010,Seperated,345,185,0,530
ANDHRA PRADESH,2010,Total,10947,4954,0,15901
ANDHRA PRADESH,2011,Never Married,1028,571,0,1599
ANDHRA PRADESH,2011,Married,8241,3779,0,12020
ANDHRA PRADESH,2011,Widowed/Widower,336,270,0,606
ANDHRA PRADESH,2011,Divorcee,95,97,0,192
ANDHRA PRADESH,2011,Seperated,420,240,0,660
ANDHRA PRADESH,2011,Total,10120,4957,0,15077
ANDHRA PRADESH,2012,Never Married,1136,685,0,1821
ANDHRA PRADESH,2012,Married,7813,3630,0,11443
ANDHRA PRADESH,2012,Widowed/Widower,261,210,0,471
ANDHRA PRADESH,2012,Divorcee,98,94,0,192
ANDHRA PRADESH,2012,Seperated,219,92,0,311
ANDHRA PRADESH,2012,Total,9527,4711,0,14238
ARUNACHAL PRADESH,2001,Never Married,12,10,0,22
ARUNACHAL PRADESH,2001,Married,64,22,0,86
ARUNACHAL PRADESH,2001,Widowed/Widower,0,2,0,2
ARUNACHAL PRADESH,2001,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2001,Seperated,0,1,0,1
ARUNACHAL PRADESH,2001,Total,76,35,0,111
ARUNACHAL PRADESH,2002,Never Married,12,20,0,32
ARUNACHAL PRADESH,2002,Married,59,22,0,81
ARUNACHAL PRADESH,2002,Widowed/Widower,0,1,0,1
ARUNACHAL PRADESH,2002,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2002,Seperated,0,0,0,0
ARUNACHAL PRADESH,2002,Total,71,43,0,114
ARUNACHAL PRADESH,2003,Never Married,11,7,0,18
ARUNACHAL PRADESH,2003,Married,41,20,0,61
ARUNACHAL PRADESH,2003,Widowed/Widower,1,0,0,1
ARUNACHAL PRADESH,2003,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2003,Seperated,1,0,0,1
ARUNACHAL PRADESH,2003,Total,54,27,0,81
ARUNACHAL PRADESH,2004,Never Married,11,10,0,21
ARUNACHAL PRADESH,2004,Married,38,20,0,58
ARUNACHAL PRADESH,2004,Widowed/Widower,0,0,0,0
ARUNACHAL PRADESH,2004,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2004,Seperated,0,0,0,0
ARUNACHAL PRADESH,2004,Total,49,30,0,79
ARUNACHAL PRADESH,2005,Never Married,18,7,0,25
ARUNACHAL PRADESH,2005,Married,31,14,0,45
ARUNACHAL PRADESH,2005,Widowed/Widower,0,0,0,0
ARUNACHAL PRADESH,2005,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2005,Seperated,0,0,0,0
ARUNACHAL PRADESH,2005,Total,49,21,0,70
ARUNACHAL PRADESH,2006,Never Married,20,7,0,27
ARUNACHAL PRADESH,2006,Married,76,26,0,102
ARUNACHAL PRADESH,2006,Widowed/Widower,0,0,0,0
ARUNACHAL PRADESH,2006,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2006,Seperated,0,0,0,0
ARUNACHAL PRADESH,2006,Total,96,33,0,129
ARUNACHAL PRADESH,2007,Never Married,33,14,0,47
ARUNACHAL PRADESH,2007,Married,65,17,0,82
ARUNACHAL PRADESH,2007,Widowed/Widower,0,0,0,0
ARUNACHAL PRADESH,2007,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2007,Seperated,0,0,0,0
ARUNACHAL PRADESH,2007,Total,98,31,0,129
ARUNACHAL PRADESH,2008,Never Married,13,8,0,21
ARUNACHAL PRADESH,2008,Married,63,22,0,85
ARUNACHAL PRADESH,2008,Widowed/Widower,0,3,0,3
ARUNACHAL PRADESH,2008,Divorcee,1,0,0,1
ARUNACHAL PRADESH,2008,Seperated,0,0,0,0
ARUNACHAL PRADESH,2008,Total,77,33,0,110
ARUNACHAL PRADESH,2009,Never Married,15,9,0,24
ARUNACHAL PRADESH,2009,Married,61,21,0,82
ARUNACHAL PRADESH,2009,Widowed/Widower,0,3,0,3
ARUNACHAL PRADESH,2009,Divorcee,1,0,0,1
ARUNACHAL PRADESH,2009,Seperated,0,0,0,0
ARUNACHAL PRADESH,2009,Total,77,33,0,110
ARUNACHAL PRADESH,2010,Never Married,20,16,0,36
ARUNACHAL PRADESH,2010,Married,71,24,0,95
ARUNACHAL PRADESH,2010,Widowed/Widower,0,0,0,0
ARUNACHAL PRADESH,2010,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2010,Seperated,0,0,0,0
ARUNACHAL PRADESH,2010,Total,91,40,0,131
ARUNACHAL PRADESH,2011,Never Married,38,12,0,50
ARUNACHAL PRADESH,2011,Married,61,23,0,84
ARUNACHAL PRADESH,2011,Widowed/Widower,0,0,0,0
ARUNACHAL PRADESH,2011,Divorcee,0,0,0,0
ARUNACHAL PRADESH,2011,Seperated,0,0,0,0
ARUNACHAL PRADESH,2011,Total,99,35,0,134
ARUNACHAL PRADESH,2012,Never Married,23,11,0,34
ARUNACHAL PRADESH,2012,Married,75,18,0,93
ARUNACHAL PRADESH,2012,Widowed/Widower,2,0,0,2
ARUNACHAL PRADESH,2012,Divorcee,0,1,0,1
ARUNACHAL PRADESH,2012,Seperated,0,0,0,0
ARUNACHAL PRADESH,2012,Total,100,30,0,130
ASSAM,2001,Never Married,634,263,0,897
ASSAM,2001,Married,1032,475,0,1507
ASSAM,2001,Widowed/Widower,36,27,0,63
ASSAM,2001,Divorcee,21,12,0,33
ASSAM,2001,Seperated,113,34,0,147
ASSAM,2001,Total,1836,811,0,2647
ASSAM,2002,Never Married,533,225,0,758
ASSAM,2002,Married,927,466,0,1393
ASSAM,2002,Widowed/Widower,57,40,0,97
ASSAM,2002,Divorcee,44,25,0,69
ASSAM,2002,Seperated,141,52,0,193
ASSAM,2002,Total,1702,808,0,2510
ASSAM,2003,Never Married,466,273,0,739
ASSAM,2003,Married,770,434,0,1204
ASSAM,2003,Widowed/Widower,197,106,0,303
ASSAM,2003,Divorcee,43,13,0,56
ASSAM,2003,Seperated,200,94,0,294
ASSAM,2003,Total,1676,920,0,2596
ASSAM,2004,Never Married,590,233,0,823
ASSAM,2004,Married,1076,499,0,1575
ASSAM,2004,Widowed/Widower,46,37,0,83
ASSAM,2004,Divorcee,21,13,0,34
ASSAM,2004,Seperated,212,112,0,324
ASSAM,2004,Total,1945,894,0,2839
ASSAM,2005,Never Married,559,278,0,837
ASSAM,2005,Married,1149,491,0,1640
ASSAM,2005,Widowed/Widower,87,38,0,125
ASSAM,2005,Divorcee,27,11,0,38
ASSAM,2005,Seperated,129,77,0,206
ASSAM,2005,Total,1951,895,0,2846
ASSAM,2006,Never Married,648,287,0,935
ASSAM,2006,Married,1274,533,0,1807
ASSAM,2006,Widowed/Widower,69,37,0,106
ASSAM,2006,Divorcee,23,11,0,34
ASSAM,2006,Seperated,102,47,0,149
ASSAM,2006,Total,2116,915,0,3031
ASSAM,2007,Never Married,619,331,0,950
ASSAM,2007,Married,1249,514,0,1763
ASSAM,2007,Widowed/Widower,67,62,0,129
ASSAM,2007,Divorcee,38,14,0,52
ASSAM,2007,Seperated,143,25,0,168
ASSAM,2007,Total,2116,946,0,3062
ASSAM,2008,Never Married,496,249,0,745
ASSAM,2008,Married,1146,579,0,1725
ASSAM,2008,Widowed/Widower,91,95,0,186
ASSAM,2008,Divorcee,47,24,0,71
ASSAM,2008,Seperated,190,72,0,262
ASSAM,2008,Total,1970,1019,0,2989
ASSAM,2009,Never Married,633,337,0,970
ASSAM,2009,Married,1119,652,0,1771
ASSAM,2009,Widowed/Widower,32,25,0,57
ASSAM,2009,Divorcee,4,19,0,23
ASSAM,2009,Seperated,94,51,0,145
ASSAM,2009,Total,1882,1084,0,2966
ASSAM,2010,Never Married,582,252,0,834
ASSAM,2010,Married,1267,565,0,1832
ASSAM,2010,Widowed/Widower,16,22,0,38
ASSAM,2010,Divorcee,12,21,0,33
ASSAM,2010,Seperated,149,107,0,256
ASSAM,2010,Total,2026,967,0,2993
ASSAM,2011,Never Married,577,202,0,779
ASSAM,2011,Married,1097,546,0,1643
ASSAM,2011,Widowed/Widower,34,63,0,97
ASSAM,2011,Divorcee,22,23,0,45
ASSAM,2011,Seperated,96,66,0,162
ASSAM,2011,Total,1826,900,0,2726
ASSAM,2012,Never Married,673,217,0,890
ASSAM,2012,Married,1600,579,0,2179
ASSAM,2012,Widowed/Widower,34,27,0,61
ASSAM,2012,Divorcee,21,25,0,46
ASSAM,2012,Seperated,64,24,0,88
ASSAM,2012,Total,2392,872,0,3264
BIHAR,2001,Never Married,107,84,0,191
BIHAR,2001,Married,162,170,0,332
BIHAR,2001,Widowed/Widower,17,26,0,43
BIHAR,2001,Divorcee,7,4,0,11
BIHAR,2001,Seperated,14,12,0,26
BIHAR,2001,Total,307,296,0,603
BIHAR,2002,Never Married,135,69,0,204
BIHAR,2002,Married,261,203,0,464
BIHAR,2002,Widowed/Widower,9,16,0,25
BIHAR,2002,Divorcee,8,2,0,10
BIHAR,2002,Seperated,13,4,0,17
BIHAR,2002,Total,426,294,0,720
BIHAR,2003,Never Married,113,63,0,176
BIHAR,2003,Married,217,155,0,372
BIHAR,2003,Widowed/Widower,11,10,0,21
BIHAR,2003,Divorcee,3,6,0,9
BIHAR,2003,Seperated,7,14,0,21
BIHAR,2003,Total,351,248,0,599
BIHAR,2004,Never Married,53,28,0,81
BIHAR,2004,Married,136,98,0,234
BIHAR,2004,Widowed/Widower,20,12,0,32
BIHAR,2004,Divorcee,1,1,0,2
BIHAR,2004,Seperated,2,0,0,2
BIHAR,2004,Total,212,139,0,351
BIHAR,2005,Never Married,78,39,0,117
BIHAR,2005,Married,223,163,0,386
BIHAR,2005,Widowed/Widower,18,4,0,22
BIHAR,2005,Divorcee,4,7,0,11
BIHAR,2005,Seperated,4,3,0,7
BIHAR,2005,Total,327,216,0,543
BIHAR,2006,Never Married,91,72,0,163
BIHAR,2006,Married,151,197,0,348
BIHAR,2006,Widowed/Widower,26,32,0,58
BIHAR,2006,Divorcee,8,7,0,15
BIHAR,2006,Seperated,23,11,0,34
BIHAR,2006,Total,299,319,0,618
BIHAR,2007,Never Married,173,133,0,306
BIHAR,2007,Married,310,246,0,556
BIHAR,2007,Widowed/Widower,38,30,0,68
BIHAR,2007,Divorcee,1,16,0,17
BIHAR,2007,Seperated,12,6,0,18
BIHAR,2007,Total,534,431,0,965
BIHAR,2008,Never Married,174,107,0,281
BIHAR,2008,Married,361,256,0,617
BIHAR,2008,Widowed/Widower,32,21,0,53
BIHAR,2008,Divorcee,15,10,0,25
BIHAR,2008,Seperated,27,12,0,39
BIHAR,2008,Total,609,406,0,1015
BIHAR,2009,Never Married,155,112,0,267
BIHAR,2009,Married,327,389,0,716
BIHAR,2009,Widowed/Widower,25,32,0,57
BIHAR,2009,Divorcee,5,3,0,8
BIHAR,2009,Seperated,2,1,0,3
BIHAR,2009,Total,514,537,0,1051
BIHAR,2010,Never Married,155,149,0,304
BIHAR,2010,Married,495,283,0,778
BIHAR,2010,Widowed/Widower,20,33,0,53
BIHAR,2010,Divorcee,12,8,0,20
BIHAR,2010,Seperated,30,41,0,71
BIHAR,2010,Total,712,514,0,1226
BIHAR,2011,Never Married,125,85,0,210
BIHAR,2011,Married,281,229,0,510
BIHAR,2011,Widowed/Widower,24,14,0,38
BIHAR,2011,Divorcee,0,4,0,4
BIHAR,2011,Seperated,16,17,0,33
BIHAR,2011,Total,446,349,0,795
BIHAR,2012,Never Married,95,82,0,177
BIHAR,2012,Married,316,198,0,514
BIHAR,2012,Widowed/Widower,24,8,0,32
BIHAR,2012,Divorcee,0,0,0,0
BIHAR,2012,Seperated,20,16,0,36
BIHAR,2012,Total,455,304,0,759
CHHATTISGARH,2001,Never Married,539,291,0,830
CHHATTISGARH,2001,Married,1979,1014,0,2993
CHHATTISGARH,2001,Widowed/Widower,104,65,0,169
CHHATTISGARH,2001,Divorcee,9,7,0,16
CHHATTISGARH,2001,Seperated,9,8,0,17
CHHATTISGARH,2001,Total,2640,1385,0,4025
CHHATTISGARH,2002,Never Married,498,295,0,793
CHHATTISGARH,2002,Married,1957,945,0,2902
CHHATTISGARH,2002,Widowed/Widower,139,67,0,206
CHHATTISGARH,2002,Divorcee,25,7,0,32
CHHATTISGARH,2002,Seperated,10,7,0,17
CHHATTISGARH,2002,Total,2629,1321,0,3950
CHHATTISGARH,2003,Never Married,544,312,0,856
CHHATTISGARH,2003,Married,1854,846,0,2700
CHHATTISGARH,2003,Widowed/Widower,182,154,0,336
CHHATTISGARH,2003,Divorcee,2,3,0,5
CHHATTISGARH,2003,Seperated,10,12,0,22
CHHATTISGARH,2003,Total,2592,1327,0,3919
CHHATTISGARH,2004,Never Married,647,367,0,1014
CHHATTISGARH,2004,Married,2247,1028,0,3275
CHHATTISGARH,2004,Widowed/Widower,56,84,0,140
CHHATTISGARH,2004,Divorcee,3,8,0,11
CHHATTISGARH,2004,Seperated,33,22,0,55
CHHATTISGARH,2004,Total,2986,1509,0,4495
CHHATTISGARH,2005,Never Married,519,332,0,851
CHHATTISGARH,2005,Married,2672,1130,0,3802
CHHATTISGARH,2005,Widowed/Widower,82,78,0,160
CHHATTISGARH,2005,Divorcee,15,10,0,25
CHHATTISGARH,2005,Seperated,17,26,0,43
CHHATTISGARH,2005,Total,3305,1576,0,4881
CHHATTISGARH,2006,Never Married,766,431,0,1197
CHHATTISGARH,2006,Married,2216,1047,0,3263
CHHATTISGARH,2006,Widowed/Widower,70,83,0,153
CHHATTISGARH,2006,Divorcee,0,0,0,0
CHHATTISGARH,2006,Seperated,8,5,0,13
CHHATTISGARH,2006,Total,3060,1566,0,4626
CHHATTISGARH,2007,Never Married,646,327,0,973
CHHATTISGARH,2007,Married,2520,1179,0,3699
CHHATTISGARH,2007,Widowed/Widower,78,69,0,147
CHHATTISGARH,2007,Divorcee,2,3,0,5
CHHATTISGARH,2007,Seperated,10,5,0,15
CHHATTISGARH,2007,Total,3256,1583,0,4839
CHHATTISGARH,2008,Never Married,698,379,0,1077
CHHATTISGARH,2008,Married,2430,1149,0,3579
CHHATTISGARH,2008,Widowed/Widower,93,148,0,241
CHHATTISGARH,2008,Divorcee,4,6,0,10
CHHATTISGARH,2008,Seperated,23,15,0,38
CHHATTISGARH,2008,Total,3248,1697,0,4945
CHHATTISGARH,2009,Never Married,746,408,0,1154
CHHATTISGARH,2009,Married,3106,1365,0,4471
CHHATTISGARH,2009,Widowed/Widower,89,135,0,224
CHHATTISGARH,2009,Divorcee,2,7,0,9
CHHATTISGARH,2009,Seperated,11,14,0,25
CHHATTISGARH,2009,Total,3954,1929,0,5883
CHHATTISGARH,2010,Never Married,1381,641,0,2022
CHHATTISGARH,2010,Married,3064,1210,0,4274
CHHATTISGARH,2010,Widowed/Widower,89,120,0,209
CHHATTISGARH,2010,Divorcee,2,2,0,4
CHHATTISGARH,2010,Seperated,9,4,0,13
CHHATTISGARH,2010,Total,4545,1977,0,6522
CHHATTISGARH,2011,Never Married,1491,690,0,2181
CHHATTISGARH,2011,Married,2865,1366,0,4231
CHHATTISGARH,2011,Widowed/Widower,116,118,0,234
CHHATTISGARH,2011,Divorcee,12,12,0,24
CHHATTISGARH,2011,Seperated,43,43,0,86
CHHATTISGARH,2011,Total,4527,2229,0,6756
CHHATTISGARH,2012,Never Married,1085,456,0,1541
CHHATTISGARH,2012,Married,2696,1053,0,3749
CHHATTISGARH,2012,Widowed/Widower,137,77,0,214
CHHATTISGARH,2012,Divorcee,34,22,0,56
CHHATTISGARH,2012,Seperated,62,32,0,94
CHHATTISGARH,2012,Total,4014,1640,0,5654
GOA,2001,Never Married,60,29,0,89
GOA,2001,Married,98,55,0,153
GOA,2001,Widowed/Widower,4,5,0,9
GOA,2001,Divorcee,0,0,0,0
GOA,2001,Seperated,5,0,0,5
GOA,2001,Total,167,89,0,256
GOA,2002,Never Married,101,30,0,131
GOA,2002,Married,122,47,0,169
GOA,2002,Widowed/Widower,3,5,0,8
GOA,2002,Divorcee,0,0,0,0
GOA,2002,Seperated,0,1,0,1
GOA,2002,Total,226,83,0,309
GOA,2003,Never Married,92,32,0,124
GOA,2003,Married,115,53,0,168
GOA,2003,Widowed/Widower,6,2,0,8
GOA,2003,Divorcee,0,0,0,0
GOA,2003,Seperated,0,0,0,0
GOA,2003,Total,213,87,0,300
GOA,2004,Never Married,87,34,0,121
GOA,2004,Married,123,65,0,188
GOA,2004,Widowed/Widower,1,3,0,4
GOA,2004,Divorcee,0,0,0,0
GOA,2004,Seperated,1,0,0,1
GOA,2004,Total,212,102,0,314
GOA,2005,Never Married,82,32,0,114
GOA,2005,Married,114,50,0,164
GOA,2005,Widowed/Widower,1,2,0,3
GOA,2005,Divorcee,0,0,0,0
GOA,2005,Seperated,0,1,0,1
GOA,2005,Total,197,85,0,282
GOA,2006,Never Married,74,36,0,110
GOA,2006,Married,106,51,0,157
GOA,2006,Widowed/Widower,3,5,0,8
GOA,2006,Divorcee,0,0,0,0
GOA,2006,Seperated,0,0,0,0
GOA,2006,Total,183,92,0,275
GOA,2007,Never Married,66,28,0,94
GOA,2007,Married,111,58,0,169
GOA,2007,Widowed/Widower,1,6,0,7
GOA,2007,Divorcee,0,0,0,0
GOA,2007,Seperated,0,0,0,0
GOA,2007,Total,178,92,0,270
GOA,2008,Never Married,65,34,0,99
GOA,2008,Married,105,64,0,169
GOA,2008,Widowed/Widower,1,3,0,4
GOA,2008,Divorcee,6,3,0,9
GOA,2008,Seperated,6,0,0,6
GOA,2008,Total,183,104,0,287
GOA,2009,Never Married,70,31,0,101
GOA,2009,Married,99,58,0,157
GOA,2009,Widowed/Widower,2,4,0,6
GOA,2009,Divorcee,6,1,0,7
GOA,2009,Seperated,7,0,0,7
GOA,2009,Total,184,94,0,278
GOA,2010,Never Married,88,27,0,115
GOA,2010,Married,127,55,0,182
GOA,2010,Widowed/Widower,3,3,0,6
GOA,2010,Divorcee,1,0,0,1
GOA,2010,Seperated,17,1,0,18
GOA,2010,Total,236,86,0,322
GOA,2011,Never Married,78,38,0,116
GOA,2011,Married,117,57,0,174
GOA,2011,Widowed/Widower,0,2,0,2
GOA,2011,Divorcee,0,1,0,1
GOA,2011,Seperated,0,0,0,0
GOA,2011,Total,195,98,0,293
GOA,2012,Never Married,72,30,0,102
GOA,2012,Married,112,58,0,170
GOA,2012,Widowed/Widower,10,5,0,15
GOA,2012,Divorcee,2,0,0,2
GOA,2012,Seperated,0,0,0,0
GOA,2012,Total,196,93,0,289
GUJARAT,2001,Never Married,581,449,0,1030
GUJARAT,2001,Married,1948,1562,0,3510
GUJARAT,2001,Widowed/Widower,89,109,0,198
GUJARAT,2001,Divorcee,13,12,0,25
GUJARAT,2001,Seperated,18,10,0,28
GUJARAT,2001,Total,2649,2142,0,4791
GUJARAT,2002,Never Married,612,439,0,1051
GUJARAT,2002,Married,1952,1381,0,3333
GUJARAT,2002,Widowed/Widower,93,95,0,188
GUJARAT,2002,Divorcee,18,8,0,26
GUJARAT,2002,Seperated,31,15,0,46
GUJARAT,2002,Total,2706,1938,0,4644
GUJARAT,2003,Never Married,505,369,0,874
GUJARAT,2003,Married,1963,1395,0,3358
GUJARAT,2003,Widowed/Widower,113,110,0,223
GUJARAT,2003,Divorcee,35,27,0,62
GUJARAT,2003,Seperated,34,15,0,49
GUJARAT,2003,Total,2650,1916,0,4566
GUJARAT,2004,Never Married,589,376,0,965
GUJARAT,2004,Married,2049,1397,0,3446
GUJARAT,2004,Widowed/Widower,104,101,0,205
GUJARAT,2004,Divorcee,37,31,0,68
GUJARAT,2004,Seperated,71,21,0,92
GUJARAT,2004,Total,2850,1926,0,4776
GUJARAT,2005,Never Married,548,396,0,944
GUJARAT,2005,Married,2092,1294,0,3386
GUJARAT,2005,Widowed/Widower,160,124,0,284
GUJARAT,2005,Divorcee,28,20,0,48
GUJARAT,2005,Seperated,74,29,0,103
GUJARAT,2005,Total,2902,1863,0,4765
GUJARAT,2006,Never Married,657,474,0,1131
GUJARAT,2006,Married,2120,1333,0,3453
GUJARAT,2006,Widowed/Widower,156,120,0,276
GUJARAT,2006,Divorcee,41,36,0,77
GUJARAT,2006,Seperated,74,24,0,98
GUJARAT,2006,Total,3048,1987,0,5035
GUJARAT,2007,Never Married,652,444,0,1096
GUJARAT,2007,Married,2451,1549,0,4000
GUJARAT,2007,Widowed/Widower,131,126,0,257
GUJARAT,2007,Divorcee,47,49,0,96
GUJARAT,2007,Seperated,94,37,0,131
GUJARAT,2007,Total,3375,2205,0,5580
GUJARAT,2008,Never Married,776,483,0,1259
GUJARAT,2008,Married,2723,1754,0,4477
GUJARAT,2008,Widowed/Widower,125,118,0,243
GUJARAT,2008,Divorcee,36,49,0,85
GUJARAT,2008,Seperated,75,26,0,101
GUJARAT,2008,Total,3735,2430,0,6165
GUJARAT,2009,Never Married,707,489,0,1196
GUJARAT,2009,Married,2693,1800,0,4493
GUJARAT,2009,Widowed/Widower,152,121,0,273
GUJARAT,2009,Divorcee,53,54,0,107
GUJARAT,2009,Seperated,66,21,0,87
GUJARAT,2009,Total,3671,2485,0,6156
GUJARAT,2010,Never Married,818,557,0,1375
GUJARAT,2010,Married,2683,1613,0,4296
GUJARAT,2010,Widowed/Widower,171,142,0,313
GUJARAT,2010,Divorcee,50,57,0,107
GUJARAT,2010,Seperated,91,25,0,116
GUJARAT,2010,Total,3813,2394,0,6207
GUJARAT,2011,Never Married,838,591,0,1429
GUJARAT,2011,Married,2732,1709,0,4441
GUJARAT,2011,Widowed/Widower,225,115,0,340
GUJARAT,2011,Divorcee,50,34,0,84
GUJARAT,2011,Seperated,67,21,0,88
GUJARAT,2011,Total,3912,2470,0,6382
GUJARAT,2012,Never Married,984,641,0,1625
GUJARAT,2012,Married,3047,1903,0,4950
GUJARAT,2012,Widowed/Widower,184,130,0,314
GUJARAT,2012,Divorcee,63,47,0,110
GUJARAT,2012,Seperated,84,27,0,111
GUJARAT,2012,Total,4362,2748,0,7110
HARYANA,2001,Never Married,228,76,0,304
HARYANA,2001,Married,1008,487,0,1495
HARYANA,2001,Widowed/Widower,74,40,0,114
HARYANA,2001,Divorcee,10,24,0,34
HARYANA,2001,Seperated,44,16,0,60
HARYANA,2001,Total,1364,643,0,2007
HARYANA,2002,Never Married,214,76,0,290
HARYANA,2002,Married,1252,511,0,1763
HARYANA,2002,Widowed/Widower,53,19,0,72
HARYANA,2002,Divorcee,11,14,0,25
HARYANA,2002,Seperated,40,10,0,50
HARYANA,2002,Total,1570,630,0,2200
HARYANA,2003,Never Married,257,99,0,356
HARYANA,2003,Married,1246,449,0,1695
HARYANA,2003,Widowed/Widower,55,30,0,85
HARYANA,2003,Divorcee,12,24,0,36
HARYANA,2003,Seperated,43,12,0,55
HARYANA,2003,Total,1613,614,0,2227
HARYANA,2004,Never Married,218,81,0,299
HARYANA,2004,Married,1163,474,0,1637
HARYANA,2004,Widowed/Widower,47,25,0,72
HARYANA,2004,Divorcee,8,16,0,24
HARYANA,2004,Seperated,18,32,0,50
HARYANA,2004,Total,1454,628,0,2082
HARYANA,2005,Never Married,227,70,0,297
HARYANA,2005,Married,1180,460,0,1640
HARYANA,2005,Widowed/Widower,56,18,0,74
HARYANA,2005,Divorcee,8,1,0,9
HARYANA,2005,Seperated,22,4,0,26
HARYANA,2005,Total,1493,553,0,2046
HARYANA,2006,Never Married,314,106,0,420
HARYANA,2006,Married,1342,407,0,1749
HARYANA,2006,Widowed/Widower,81,28,0,109
HARYANA,2006,Divorcee,4,5,0,9
HARYANA,2006,Seperated,25,4,0,29
HARYANA,2006,Total,1766,550,0,2316
HARYANA,2007,Never Married,384,106,0,490
HARYANA,2007,Married,1370,428,0,1798
HARYANA,2007,Widowed/Widower,69,37,0,106
HARYANA,2007,Divorcee,8,5,0,13
HARYANA,2007,Seperated,21,5,0,26
HARYANA,2007,Total,1852,581,0,2433
HARYANA,2008,Never Married,342,139,0,481
HARYANA,2008,Married,1492,479,0,1971
HARYANA,2008,Widowed/Widower,96,52,0,148
HARYANA,2008,Divorcee,19,8,0,27
HARYANA,2008,Seperated,25,4,0,29
HARYANA,2008,Total,1974,682,0,2656
HARYANA,2009,Never Married,317,121,0,438
HARYANA,2009,Married,1381,518,0,1899
HARYANA,2009,Widowed/Widower,87,38,0,125
HARYANA,2009,Divorcee,10,3,0,13
HARYANA,2009,Seperated,20,8,0,28
HARYANA,2009,Total,1815,688,0,2503
